product,thread_id,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90,dominant_emotion,thread_title
ricoh_gr_iiix_hdf_digital_camera,4aktw0,18,153,0.313111063092947,0.1875,0.050528350461163274,0.033678235403595894,0.027571648583007625,0.4962418157290789,0.4978654744967916,0.49277136294670354,0.4900742471218109,0.6198044419288635,0.32550516724586487,0.34498313069343567,0.6759548187255859,0.5983842015266418,3,15,0.16666666666666666,0.22631359338346455,1.6290407622471201,0.48887778564391504,0.8333333333333334,0.8235294117647058,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.3888888888888889,48.25757152899992,40.0,0.9001412305927445,5.0,1.6111111111111112,1.0,1.9090909090909092,0.11731482891061912,0.9937528967857361,0.3739060088992124,0.004222038347355313,0.07326351851224899,0.0008578016640967707,0.1131135586547316,0.970740020275116,0.4006057560443883,0.0020740679266155995,0.03495001047849655,0.0006349223782308403,0.055952085857926354,0.8589316010475159,0.04792549470439562,0.001911439609102672,0.028566014021635056,0.0013895951095037168,0.0490980032177251,0.4877185268172373,0.13742717964972467,neutral,"Headed to Japan for a month soon, need some camera help."
ricoh_gr_iv_hdf_digital_camera,4aktw0,18,153,0.313111063092947,0.1875,0.050528350461163274,0.033678235403595894,0.027571648583007625,0.49624181494993325,0.4978654801455978,0.492771365478927,0.49007418751716614,0.6198044419288635,0.32550516724586487,0.3449831008911133,0.6759548783302307,0.5983840823173523,3,15,0.16666666666666666,0.22631359338346455,1.6290407622471201,0.48887778564391504,0.8333333333333334,0.8235294117647058,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.3888888888888889,48.25757152899992,40.0,0.9001412305927445,5.0,1.6111111111111112,1.0,1.9090909090909092,0.11731482228788082,0.9937528967857361,0.37390597313642554,0.004222038347355313,0.07326351851224899,0.0008578016640967707,0.1131135586547316,0.970740020275116,0.4006057560443883,0.0020740678684079386,0.03495001047849655,0.0006349216448143129,0.05595209082498008,0.8589316010475159,0.04792552152648576,0.001911439609102672,0.028566014021635056,0.0013895951095037168,0.0490980029320764,0.4877185268172373,0.13742717810722163,neutral,"Headed to Japan for a month soon, need some camera help."
ricoh_gr_iv_monochrome_digital_camera,4aktw0,18,153,0.313111063092947,0.1875,0.050528350461163274,0.033678235403595894,0.027571648583007625,0.49624181358642827,0.4978654817038891,0.49277136567371344,0.49007418751716614,0.6198044419288635,0.32550516724586487,0.34498313069343567,0.6759548783302307,0.5983842015266418,3,15,0.16666666666666666,0.2263135735152496,1.6290407622471201,0.48887778564391504,0.8333333333333334,0.8235294117647058,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.3888888888888889,48.25757152899992,40.0,0.9001412305927445,5.0,1.6111111111111112,1.0,1.9090909090909092,0.11731482228788082,0.9937528967857361,0.37390597313642554,0.004222038347355313,0.07326351851224899,0.0008578016640967707,0.1131135586547316,0.970740020275116,0.4006057560443883,0.0020740678684079386,0.03495001047849655,0.0006349216448143129,0.05595209082498008,0.8589316010475159,0.04792552152648576,0.001911439609102672,0.028566014021635056,0.0013895951095037168,0.0490980029320764,0.4877185268172373,0.13742717810722163,neutral,"Headed to Japan for a month soon, need some camera help."
sony_a7_iv_mirrorless_camera_with_28_70mm_lens,1sfkm26,1,0,0.30869224667549133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.033023588359355927,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004925908870063722,0.0004925908870063722,0.0004925908870063722,1.5518598956987262e-06,1.5518598956987262e-06,1.5518598956987262e-06,3.7393136153696105e-05,3.7393136153696105e-05,3.7393136153696105e-05,2.1472409571288154e-05,2.1472409571288154e-05,2.1472409571288154e-05,0.00010959267819998786,0.00010959267819998786,0.00010959267819998786,7.52215928514488e-05,7.52215928514488e-05,7.52215928514488e-05,0.00012297042727974863,0.00012297042727974863,0.00012297042727974863,curiosity,Upgrade Options from Sony A6400
sony_a9_ii_mirrorless_camera,4ddcou,19,171,0.324736754099528,0.16666666666666666,0.05130516793107126,0.035751881410575045,0.03003784023302171,0.5102064703640184,0.4827500712453273,0.4940891501150633,0.49558740854263306,0.7864323854446411,0.32431018352508545,0.3203037679195404,0.6776820421218872,0.5571538805961609,3,16,0.15789473684210525,0.12256527290140327,1.5388340843440496,0.4618066147035913,0.6842105263157895,0.7777777777777778,0.47368421052631576,0.15789473684210525,0.15789473684210525,0.0,0.6842105263157895,66.9433133495502,30.5,1.1438156057926743,4.0,1.631578947368421,1.3333333333333333,1.6,0.11451788279718082,0.8813948631286621,0.39689286947250324,0.00025167065886259817,0.0026793782599270344,0.0005253561539575446,0.08550342601866807,0.836064338684082,0.180216452479362,0.003121494314032852,0.030115069821476936,0.005969161144457738,0.01942723127285717,0.1537681519985199,0.07833307683467859,0.0005551486599295842,0.00297176418825984,0.0017670427449047559,0.037229475620255185,0.3110508413471204,0.10680960407674607,neutral,"""Why Sony's full frame mirrorless was a mistake."""
sony_a7_iv_mirrorless_camera_with_28_70mm_lens,1pa3qnv,1,0,0.06493060290813446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.019124062731862068,-0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004303964087739587,0.0004303964087739587,0.0004303964087739587,1.2961926358912024e-06,1.2961926358912024e-06,1.2961926358912024e-06,2.964293526019901e-05,2.964293526019901e-05,2.964293526019901e-05,1.7580396161065437e-05,1.7580396161065437e-05,1.7580396161065437e-05,0.00011208929208805785,0.00011208929208805785,0.00011208929208805785,6.325403955997899e-05,6.325403955997899e-05,6.325403955997899e-05,0.00010904321074652519,0.00010904321074652519,0.00010904321074652519,neutral,"Help me indentify the lens on that Sony A7 (s 3 or sIV), picture 3 seems like a 16-35 right ?"
sony_a7_iv_mirrorless_camera_with_basic_bundle,1s6xlpw,1,0,0.3116776943206787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.07774306833744049,-0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004941941588185728,0.0004941941588185728,0.0004941941588185728,1.0871439144466422e-06,1.0871439144466422e-06,1.0871439144466422e-06,1.957109270733781e-05,1.957109270733781e-05,1.957109270733781e-05,2.255686376884114e-05,2.255686376884114e-05,2.255686376884114e-05,0.00012908056669402868,0.00012908056669402868,0.00012908056669402868,9.397905523655936e-05,9.397905523655936e-05,9.397905523655936e-05,0.00012674481352329772,0.00012674481352329772,0.00012674481352329772,neutral,Nikon ZR Red vs Sony A7 IV — which is better for video?
sony_rx100_vii_digital_camera_with_basic_bundle,1chyk4e,4,6,0.31879162043333054,0.0,0.03262643224253075,0.0313445413785289,0.032213381792512784,0.47027020156383514,0.4401407986879349,0.4411342591047287,0.43589845299720764,0.5575686097145081,0.17559456825256348,0.12815965712070465,0.17559456825256348,0.4397469162940979,0,4,0.0,0.05328895803540945,0.5623351446188083,0.16875769266311968,1.0,0.3333333333333333,0.75,0.0,0.25,0.25,0.5,45.880278987817846,34.0,1.3108651139376528,3.0,2.25,1.5,1.5,0.06970048712537391,0.27014368772506714,0.1914122454822064,5.401626339107679e-05,0.0001886741811176762,0.00013944957590865674,0.043333968768365594,0.17205476760864258,0.12080568429082635,9.45625533859129e-05,0.0002365589898545295,0.00019455737565294843,0.009845379481703276,0.038791097700595856,0.02726847023004667,0.0004537601962510962,0.0008786235703155398,0.0008446586318314076,0.020580362398078478,0.08038223496259889,0.05677751093107874,neutral,Compact camera dupe of the Sony rx100 vii??
hasselblad_x2d_ii_100c_medium_format_mirrorless_camera,4ejrd9,1,0,0.29780879616737366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.027334120124578476,-0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0006241908995434642,0.0006241908995434642,0.0006241908995434642,1.3676728940481553e-06,1.3676728940481553e-06,1.3676728940481553e-06,3.8079531805124134e-05,3.8079531805124134e-05,3.8079531805124134e-05,2.592593591543846e-05,2.592593591543846e-05,2.592593591543846e-05,0.00015468783385585994,0.00015468783385585994,0.00015468783385585994,7.329508662223816e-05,7.329508662223816e-05,7.329508662223816e-05,0.00015292449343936218,0.00015292449343936218,0.00015292449343936218,approval,Medium Format Camera Advantages - Hasselblad with Karl Taylor
sony_a9_ii_mirrorless_camera,6mtf7r,25,300,0.324931321144104,0.28,0.03997791176552156,0.024855349375909618,0.02016173005559771,0.4741176548103491,0.5100828735530376,0.4845844593644142,0.4920456260442734,0.606473982334137,0.24843165278434753,0.2276875525712967,0.6910697817802429,0.5459333658218384,2,23,0.08,0.15400930143892766,2.0397125559135922,0.6121210597024089,0.76,0.75,0.36,0.2,0.08,0.12,0.6,64.71517905406738,91.0,0.9094319709677822,8.0,2.88,1.3571428571428572,2.65625,0.05380836386117153,0.9538952112197876,0.046740189939737324,4.8248531993522195e-06,3.04997265629936e-05,9.633529589336832e-06,0.0004375855139369378,0.006207013502717018,0.0008540390059351925,0.0003827127747354098,0.0072133829817175865,0.0002509201527573169,0.047337461858114695,0.9371228218078613,0.021735311299562455,0.0002442961787164677,0.0011495687067508698,0.0006912811659276488,0.0170358741733124,0.315512832485183,0.012198290263434806,neutral,Huge review of the Sony a9 by Jared Polin
