thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
1hc6jcz,"[USA-CA][H] BNIB Pixel 9 Pro, iPad Pro 11” M1, iPhone 16 Pro, iPhone 15 Pro, 3x AW Series 9 [W] PayPal",11,55,0.22489229483263834,0.0,0.09998101644772639,0.08948557358080762,0.08298250994613846,0.472265011343089,0.4918310057033192,0.46825543533671987,0.4309658110141754,0.9863839745521545,0.3021138608455658,0.31380316615104675,0.633324921131134,0.529617190361023,0,11,0.0,0.13565308329733936,0.47413931305783735,0.14228997998472417,1.0,0.2,neutral,0.8181818181818182,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.09090909090909091,65.29576701504197,101.5,1.1641060569942654,2.0,1.1818181818181819,1.0,1.0,0.0075819240512580354,0.04025400057435036,0.0139879509806633,8.127143432416647e-06,3.398398985154927e-05,1.5583704225718975e-05,0.0012756580118465618,0.008119404315948486,0.002158550312742591,6.379890592969869e-05,0.00016659779066685587,0.00015285985136870295,0.001300040328219025,0.0074358368292450905,0.0026956479996442795,0.0003487942733706652,0.0012794537469744682,0.0007358090952038765,0.0017630571190094006,0.009548212874506135,0.0032044360853736484
1hc6kba,"[USA-CA][H] BNIB Pixel 9 Pro, iPad Pro 11” M1, iPhone 16 Pro, iPhone 15 Pro, 3x AW Series 9 [W] PayPal",5,10,0.29567561745643617,0.0,0.07000264523934592,0.07245020770498119,0.07894123426885287,0.3297139868140221,0.4890523612499237,0.37588605284690857,0.3553437143564224,0.4995478689670563,0.2167661488056183,0.1861928403377533,0.2167661488056183,0.370959997177124,2,3,0.4,0.29965298548340796,0.5004024235381879,0.15017158220936364,1.0,0.5,neutral,0.8,0.2,0.0,0.2,0.6,28.29416901059298,16.0,1.2978976610363753,2.0,1.2,1.0,1.0,0.015948622178984805,0.07310899347066879,0.04589079581201077,6.7022823486695415e-06,1.6342866729246452e-05,1.5177785826381296e-05,0.0008175925588147948,0.003056000219658017,0.0022133392514660957,5.8624264056561515e-05,0.00014142038708087057,0.0001183330430649221,0.006826155856833794,0.0334705226123333,0.02019408507039771,0.0002551547295297496,0.0007327993516810238,0.0005617821589112282,0.003985475311761396,0.018420527700982348,0.011498821763537613
1hrch3e,"[USA-CA][H] 2x iPhone 16 Pro Max, iPhone 15 Pro, iPhone 15 Pro Max, Apple Watch Series 10, iPad Pro 12.9, 512gb Meta Quest 3 [W] PayPal ",6,15,0.17547650914639235,0.0,0.059630453776489296,0.04751248526937119,0.041342312221003014,0.46012842456499736,0.4835147221883138,0.4553021669387817,0.43522584438323975,0.6362371444702148,0.3470931649208069,0.38329017162323,0.45831289887428284,0.567825198173523,0,6,0.0,0.16299323520312706,0.45056120886630463,0.13521415251989277,1.0,0.4,neutral,0.8333333333333334,0.6666666666666666,0.0,0.3333333333333333,0.0,92.73333932422698,98.75,1.063862401425166,2.0,1.1666666666666667,1.0,1.0,0.0027437168561543026,0.007283562328666449,0.005110030178911984,6.2562473696440675e-06,1.1389691280783154e-05,1.1145079497509869e-05,0.00037659635684879805,0.0012867734767496586,0.0008693370473338291,4.819878965160266e-05,8.509749022778124e-05,7.28661452740198e-05,0.0003670083387987688,0.0009979198221117258,0.0007093565945979208,0.0003127733725705184,0.0008662825566716492,0.000612257543252781,0.0006424249935656057,0.001665841332396667,0.001205688557471755
1hrcicy,"[USA-CA][H] 2x iPhone 16 Pro Max, iPhone 15 Pro, iPhone 15 Pro Max, Apple Watch Series 10, iPad Pro 12.9, 512gb Meta Quest 3 [W] PayPal ",3,3,0.28665239612261456,0.0,0.09040298180476421,0.09807180597267118,0.10823228205853096,0.2644602656364441,0.49525179465611774,0.33672253290812176,0.33693578839302063,0.4200015068054199,0.38445210456848145,0.34825244545936584,0.38445210456848145,0.4535321593284607,0,3,0.0,0.20763342827558517,-0.0,0.0,1.0,0.0,neutral,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,34.89348872720461,37.5,1.2612104359230583,1.0,1.0,0.0,0.0,0.0020977448439225554,0.005002215504646301,0.004133437259588391,6.405197079099405e-06,1.6234469512710348e-05,1.3330808042155696e-05,0.0003388809764146572,0.0009410710772499442,0.0007626271137269214,4.712639141265148e-05,8.322948997374624e-05,7.248144502227661e-05,0.00018451646610628814,0.00027735214098356664,0.00025087942194659265,0.00015355627692770213,0.0003019048017449677,0.0002582146582426503,0.00047137169197715906,0.0011036679140185395,0.0009144309853051407
1hzyexo,"[USA-CA][H] iPhone 15, iPhone 15 Pro, 2x iPhone 15 Pro Max, Apple Watch Series 10 [W] PayPal ",4,6,0.29199448227882385,0.0,0.04547924114603158,0.046623508174115876,0.04900281493039505,0.32636746764183044,0.4199119706948598,0.3556585560242335,0.3429315388202667,0.4613053500652313,0.16718357801437378,0.18208886682987213,0.16718357801437378,0.31243571639060974,1,3,0.25,0.31233279686421156,0.5623351446188083,0.16875769266311968,1.0,0.6666666666666666,neutral,0.75,0.25,0.0,0.5,0.25,30.97176133189716,19.5,1.3179472907190282,2.0,1.25,1.0,1.0,0.005076942659798078,0.014063012786209583,0.011381523776799442,6.533782197948312e-06,1.6424346540588886e-05,1.3529016996471912e-05,0.0005134632456247346,0.0010378318838775158,0.0010143147956114262,0.00012334900475252653,0.0003551387053448707,0.0002738994902756531,0.000712825836671982,0.0022941629868000746,0.0016906042117625479,0.0002161098709621001,0.0003384418087080121,0.00032912293099798264,0.001108204066667895,0.0030158935698333758,0.002449855630508561
1hzyfqd,"[USA-CA][H] iPhone 15, iPhone 15 Pro, 2x iPhone 15 Pro Max, Apple Watch Series 10 [W] PayPal ",7,21,0.20198249891400338,0.0,0.05540455807975225,0.045068294108440154,0.04003852395707038,0.4603058922858465,0.46298186480998993,0.4454689820607503,0.45561739802360535,0.6274315714836121,0.30281901359558105,0.31938257813453674,0.45145097374916077,0.4848131537437439,2,5,0.2857142857142857,0.31482861350689617,-0.0,0.0,0.8571428571428571,0.0,neutral,1.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,70.33157621043978,97.0,1.0408478508944576,2.0,1.1428571428571428,1.0,1.0,0.0025283453786479576,0.010254581458866596,0.005239339545369152,4.101352471609841e-06,1.1513598110468592e-05,8.201282253139655e-06,0.0002916550191522609,0.001478165271691978,0.0007138086599297826,4.350865908366229e-05,8.72881428222172e-05,7.85711206845008e-05,0.00041561211920842264,0.00149129843339324,0.0007867465959861878,0.00023395344760501757,0.0006319580134004354,0.0005361563700716943,0.0005861959960281551,0.0023258008197141558,0.0011901214806281746
1kjulgz,Apple has started to sell refurbished iPhone 15s,129,8256,0.32056900201820016,0.1968503937007874,0.05230456911485732,0.041245216193101106,0.03736523862219597,0.480636830129408,0.48858661848560786,0.48058571117251475,0.48846690356731415,0.8478990793228149,0.23012320697307587,0.20635586977005005,0.7876753807067871,0.46210551261901855,41,88,0.3178294573643411,0.34134283863989884,1.9377723069972514,0.5815286249928776,0.8449612403100775,0.671875,neutral,0.5116279069767442,0.17054263565891473,0.08527131782945736,0.21705426356589147,0.5271317829457365,33.46343458522345,26.0,1.1015011639433083,7.0,2.8217054263565893,1.6779661016949152,4.375878220140515,0.01570990404304543,0.8939118981361389,0.0040981374680995955,3.875906456023374e-05,0.003885707352310419,3.81763147743186e-06,0.010492949220170258,0.7869253158569336,0.00027584448107518254,5.720884548437009e-05,0.0015082216123118997,8.542265568394216e-05,0.003553739893963098,0.25986146926879883,0.0006741101038642229,0.0001475123028158546,0.00290116248652339,0.00018533596594352285,0.005000012228339877,0.3246360791187423,0.0009089936637489401
1lbdjob,"[USA-CA][H] 3x iPhone 15 128gb, iPhone 15 Pro Max 256gb, iPhone 16 128gb [W] PayPal",8,28,0.22253997304609843,0.0,0.08987230401911651,0.07406436096526765,0.06547526799518195,0.46604439190455843,0.5237125818218503,0.48249741005046026,0.46340663731098175,0.664147138595581,0.3998717963695526,0.45107501745224,0.5722688436508179,0.6038916707038879,3,5,0.375,0.29966485244221985,0.37677016125643675,0.11306933896341992,1.0,0.14285714285714285,neutral,0.875,0.625,0.0,0.375,0.0,58.621535078842825,104.25,0.866861886563295,2.0,1.25,2.0,1.3333333333333333,0.0036021156411152333,0.022399526089429855,0.00794058253522962,4.250513669035172e-06,1.955517836904619e-05,8.131653476084463e-06,0.0005090230401947338,0.0035113710910081863,0.0011781791079556563,4.118756919524458e-05,0.0001277705014217645,8.060759137151761e-05,0.0006678744412056403,0.004052724689245224,0.0014404793706489722,0.00022331352101900848,0.0010851884726434946,0.00043266509892418963,0.0008412941210664826,0.005199356003686262,0.0018415138291175016
1lbdk5r,"[USA-CA][H] 3x iPhone 15 128gb, iPhone 15 Pro Max 256gb, iPhone 16 128gb [W] PayPal",2,1,0.290844589471817,0.0,0.004040412285310665,0.0032133800103362462,0.0028686168545281098,0.23940010368824005,0.5563860535621643,0.334760457277298,0.334760457277298,0.334760457277298,0.021707357838749886,0.021707357838749886,0.021707357838749886,0.021707357838749886,0,2,0.0,0.09837593697011471,0.6931471805599453,0.20801459767650946,1.0,1.0,neutral,0.5,0.5,0.0,0.5,0.0,35.5,35.5,0.8554216867469879,1.0,1.0,0.0,0.0,0.0026319294702261686,0.004854170605540276,0.004409722378477455,8.520338724338217e-06,1.562726538395509e-05,1.4205880052031717e-05,0.0004645604840334272,0.0009041830780915916,0.0008162585592799588,5.208098446018994e-05,8.104820881271735e-05,7.525476394221187e-05,0.000188993461051723,0.0002764742821455002,0.00025897811792674474,0.0001930939979502,0.0002975318056996912,0.00027664424414979293,0.0005898631227410078,0.0010715058742789552,0.0009751773239713657
__summary_mean__,__summary_mean__,19.444444444444443,932.7777777777778,0.25673637369855823,0.021872265966754158,0.06301313132371046,0.057526092442121354,0.05624986676154409,0.3888135971120484,0.49013655257468297,0.415015256068421,0.40485045479403603,0.6086348990599314,0.2635700257702006,0.2680164792885383,0.4103491341488229,0.4229875507040156,5.444444444444445,14.0,0.18094930478651408,0.24138641896475566,0.5550141932105302,0.16656066322332302,0.9669004552725483,0.39793320105820107,,0.787571450943544,0.4291584169491146,0.01957560097094981,0.37227731355638327,0.17898866852355225,50.0116745870522,59.55555555555556,1.1077396038051048,2.3333333333333335,1.3347830464109534,0.9642184557438794,1.1899123948304275,0.006435693902572507,0.11901466232827967,0.011354613326127742,9.961769094777215e-06,0.000447419862009863,1.1458093538547272e-05,0.0016755976570111363,0.08969556847457877,0.0011113621476801605,5.945371266961197e-05,0.0002928680365180804,0.00011225512296530523,0.001579640749117638,0.03446197345167295,0.003188987498530575,0.00023158464363897955,0.0009371914493385702,0.0004364431184108576,0.0016653220723507754,0.04077632057868431,0.002687671035518078
