thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
112y5mk,AT&T Prepaid $300 Annual - Data didn't renew this month?,10,45,0.30208928883075714,0.1,0.05746414406991228,0.053856556547497866,0.053307596799217795,0.4830499556329515,0.4701294309563107,0.47448415093951757,0.4828038513660431,0.6329318881034851,0.14988167583942413,0.10537008941173553,0.40972232818603516,0.3402089476585388,2,8,0.2,0.182565394975245,1.2275294114572126,0.3683835754104631,0.9,0.6666666666666666,neutral,0.6,0.1,0.0,0.5,0.4,10.42544963059148,5.5,0.6475434553162409,8.0,3.8,1.0,3.0,0.0018036535941064358,0.012893371284008026,0.0020308659237343774,1.7227091689164808e-06,2.831861593222129e-06,1.9439787251940283e-06,4.133087149966741e-05,6.845993630122393e-05,6.834317900938913e-05,3.441174212639453e-05,9.00582890608348e-05,5.1002768668695335e-05,0.0004486670994083397,0.0034893169067800045,0.00048230106331175073,0.00015201654459815473,0.0007325563346967101,0.00017674559057923012,0.00041363376015131814,0.0028792463909326216,0.0004631956773948777
124316q,AT&T Prepaid - stop spam texts from email?,21,210,0.30183432382695813,0.11764705882352941,0.060048098221782746,0.05059048807530273,0.04731126043362926,0.5061217669929777,0.5259970169691812,0.5122731122232619,0.5074184834957123,0.9999997615814209,0.19264638423919678,0.15421593189239502,0.6983824968338013,0.41981884837150574,2,19,0.09523809523809523,0.20873888377987204,1.4925477463093382,0.44791600928205383,0.9523809523809523,0.55,neutral,0.5714285714285714,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.23809523809523808,17.409565489165487,23.0,0.6459379421775181,4.0,1.9523809523809523,1.375,1.9333333333333333,0.08627865347772881,0.9038276672363281,0.15588553249835968,0.0002526380127825351,0.00431875791400671,1.4357438885781448e-05,0.07371904311124429,0.8665376901626587,0.005695647094398737,9.752014617940101e-05,0.0008396650082431734,0.0002729877596721053,0.012627782936241212,0.1086529865860939,0.07035742700099945,0.00025927841211558276,0.0023589401971548796,0.00048658152809366584,0.028872486016048637,0.3102726978540886,0.04513364437949955
139x2mv,AT&T Prepaid - Call History?,2,1,0.36236897110939026,1.0,0.066606056559321,0.057127557077250334,0.05377384334225868,0.5703717470169067,0.6614545583724976,0.6125457882881165,0.6125457882881165,0.6125457882881165,0.49004065990448,0.49004065990448,0.49004065990448,0.49004065990448,0,2,0.0,0.04225120600312948,0.6931471805599453,0.20801459767650946,1.0,1.0,gratitude,0.5,0.0,0.0,0.5,0.5,3.5,3.5,0.2413793103448276,1.0,1.0,0.0,0.0,0.0004808137600775808,0.0005181274027563632,0.0005106646742206067,1.2734221286336833e-06,1.4291075558503508e-06,1.3979704704070174e-06,2.5977556106226984e-05,2.9803792131133378e-05,2.90385449261521e-05,2.1053419914096594e-05,2.1992171241436154e-05,2.180442097596824e-05,0.00011713361527654342,0.00013463063805829734,0.00013113123350194655,7.606144936289638e-05,8.429252193309367e-05,8.264630741905421e-05,0.00012038553714432965,0.00013038529846198799,0.0001283853461984563
15740vn,Strange Problem - SIM card has wrong number,9,36,0.3051254087024265,0.1111111111111111,0.10709508595927114,0.06083513109661013,0.04357355822052918,0.5532381965054406,0.531700616909398,0.5416403536995252,0.5328415632247925,0.6196805238723755,0.5830509066581726,0.6116431951522827,0.7141822576522827,0.7183282375335693,4,5,0.4444444444444444,0.44663271659778225,1.0027182645175161,0.3009173841088146,1.0,0.75,neutral,0.6666666666666666,0.0,0.0,0.5555555555555556,0.4444444444444444,11.235965182406312,9.0,0.24134531418056518,3.0,1.4444444444444444,1.5,1.6666666666666667,0.0004619281874814381,0.0005077914102002978,0.0005058549111708998,1.8122273609656581e-06,2.5040030777745415e-06,2.4981068236229476e-06,3.664010162335924e-05,4.9091486289398745e-05,4.5947463513584806e-05,2.3640065491134817e-05,2.761608084256295e-05,2.6228235583403148e-05,9.343128234225635e-05,0.00011182206071680412,0.00010861501068575308,7.449701701666022e-05,8.37453844724223e-05,8.29644763143733e-05,0.00011532481355263574,0.00012748081618004412,0.00012441218775620654
15kkef6,AT&T Post Paid iPhone 12 to Pre-Paid - I want to test it out,11,55,0.3004144484346563,0.0,0.04583133094000028,0.0309560205514234,0.025309784567426354,0.4914403969591314,0.5098216067660939,0.49631408290429546,0.49786946177482605,0.5771353840827942,0.35484611988067627,0.36581870913505554,0.615632176399231,0.5979788303375244,0,11,0.0,0.03182525001466274,1.0335620542068176,0.3101736556236982,1.0,0.7,neutral,0.6363636363636364,0.36363636363636365,0.0,0.18181818181818182,0.45454545454545453,52.57281451897246,48.5,0.9752124109758804,5.0,2.272727272727273,1.0,1.7857142857142858,0.017368187056325205,0.18524353206157684,0.001339506241492927,2.2118588379850155e-06,6.144701728771906e-06,4.985237865184899e-06,9.141817331097131e-05,0.0005561733851209283,0.0001530002773506567,2.551094257796649e-05,6.0687387303914875e-05,2.858590414689388e-05,0.014235771000544033,0.15522941946983337,0.0003466142516117543,0.00014699963238936934,0.0005287985550239682,0.00038900820072740316,0.005311683110664255,0.0569372660161207,0.0003771432628430678
16wcd88,AT&T Prepaid - prepayment,33,528,0.3082246333360672,0.14285714285714285,0.04936797454785581,0.03590750262844742,0.031130427824491914,0.47158954560643795,0.4871689427474683,0.47391030418150354,0.48689164221286774,0.699176013469696,0.28403329849243164,0.2557823061943054,0.7235466241836548,0.5711190104484558,10,23,0.30303030303030304,0.318320722516739,1.415487519240508,0.42479010964608627,0.9696969696969697,0.71875,neutral,0.5757575757575758,0.45454545454545453,0.030303030303030304,0.30303030303030304,0.21212121212121213,35.46995262227777,38.0,0.8955688114270592,5.0,2.303030303030303,1.1666666666666667,2.2033898305084745,0.007850598492730183,0.23827052116394043,0.0006499662878923119,5.704275043750716e-06,0.00013794646656606346,1.8842233657778706e-06,0.0036144883190652104,0.11794076859951019,4.778833827003837e-05,3.691744892752137e-05,0.0004974030889570713,3.2441110670333734e-05,0.0005523509793089364,0.012736376374959946,0.00015265615656971933,0.00011784893175707,0.0012679693754762411,0.00010794235276989639,0.0020296514078054456,0.061808497511568326,0.00015936967286810008
17o1huv,"3 lines, need prioritized data, AT&T/Verizon - critique my plan",14,91,0.28732722309919506,0.07692307692307693,0.047020606945575874,0.03832096426974748,0.035574003015847205,0.4864125163345547,0.4817367703705044,0.4794332575012039,0.4823540151119232,0.6101058721542358,0.2483372688293457,0.23003876209259033,0.544772744178772,0.47402456402778625,2,12,0.14285714285714285,0.14949451054313354,1.3316643102930148,0.39963462813481315,1.0,0.7692307692307693,neutral,0.5,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.2857142857142857,61.00334550879408,29.75,1.3302910235562573,5.0,1.9285714285714286,1.1666666666666667,1.7857142857142858,0.0006024348092198904,0.00196445663459599,0.0007404493866488337,1.5263238667882563e-06,2.417098130536033e-06,1.978182842776732e-06,4.1720228702096005e-05,0.00014374028251040727,6.554504907398947e-05,2.4873979003002334e-05,6.866674084449187e-05,3.11054371195496e-05,0.00013947218342634317,0.00036802803515456617,0.00021557127474807196,8.598732269352436e-05,0.00013268516340758651,0.00011760789493564516,0.00014933580781860742,0.00044449090933085245,0.00018988575678804409
17zyxkj,AT&T Prepaid customers - does Unlimited Max Plus show up under your plan change options?,27,351,0.3053220258309291,0.19230769230769232,0.05561315187206055,0.03578113988697412,0.02778740673073326,0.5002371408151426,0.504406001917657,0.49883033577193564,0.4999065697193146,0.6009531021118164,0.3185778260231018,0.3346581757068634,0.7464509010314941,0.6054211258888245,3,24,0.1111111111111111,0.1500315662059519,1.8126447004835964,0.5439776265077708,0.9259259259259259,0.8461538461538461,neutral,0.4444444444444444,0.2222222222222222,0.18518518518518517,0.14814814814814814,0.4444444444444444,37.99935022186499,34.0,0.7230320338198412,10.0,3.740740740740741,1.05,3.5444444444444443,0.010902068839641288,0.1648351401090622,0.0034786870237439823,6.093315261279241e-06,9.657607733970508e-05,3.23670951729582e-06,0.0037347984425313945,0.09941400587558746,0.00011162662704009563,3.47264448700352e-05,0.00019491235434543341,6.163657380966461e-05,0.0017020333694677833,0.03047920949757099,0.0007505655637942248,0.004242703020281624,0.11167557537555695,0.00011992613872280336,0.003437070572008901,0.0493360327782284,0.0007712534947055843
1cyfjpp,Data prioritization policies of the carriers and the MVNOs that use their networks,152,11476,0.3040540573852403,0.07142857142857142,0.04663337325912504,0.03620599147093065,0.03245290744181296,0.48120122697008283,0.4829709886265844,0.4765401778995222,0.47907060384750366,1.0,0.25771403312683105,0.259050577878952,0.8021873235702515,0.4853140115737915,20,132,0.13157894736842105,0.17867162669273584,1.9404704114018032,0.5823383305185477,0.9342105263157895,0.7682119205298014,neutral,0.40789473684210525,0.29605263157894735,0.08552631578947369,0.29605263157894735,0.3223684210526316,34.24801526388406,31.25,0.9522038266161288,10.0,2.6907894736842106,1.103448275862069,2.9967532467532467,0.02007499724124117,0.9169290661811829,0.0021409937413409356,4.676732323323569e-05,0.004091808572411537,3.0897554324837995e-06,0.011477614795359458,0.6571131348609924,0.000176026098779403,6.739609301875087e-05,0.0035294401459395885,4.605473441188224e-05,0.006473639389505,0.48611846566200256,0.00025557865446899095,0.00016005286663226128,0.004871865268796682,0.00015472708764718854,0.006383411284831645,0.34460374474777683,0.0005086597176386931
1dfr5pu,ATT Prepaid 3 Month 8GB Plan - Activation,6,15,0.3049001197020213,0.16666666666666666,0.040881886445678625,0.0319312186457337,0.02828251205392291,0.5302104314168294,0.5415310760339102,0.530631689230601,0.5355474352836609,0.5847657322883606,0.2916620969772339,0.2684931457042694,0.38235077261924744,0.5154552459716797,1,5,0.16666666666666666,0.17635700975855192,0.6365141682948128,0.1910189384688593,1.0,0.4,neutral,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,27.562051205718827,38.5,0.7656125334921896,2.0,1.3333333333333333,1.0,1.0,0.002579727656363199,0.013243387453258038,0.00691325098159723,2.69530282063594e-06,9.337560186395422e-06,5.40746037813733e-06,0.0003662737884345309,0.0020594883244484663,0.0010452803107909858,4.325198854833919e-05,0.0001551328896312043,9.055709688254865e-05,0.0003736234417980692,0.0017026178538799286,0.000915700635232497,0.00010790960974797296,0.0002588762145023793,0.00017230345110874623,0.000578913631285458,0.0029048067159844018,0.0015234301951636553
