thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
10b8idi,Apple Card responsible for more than $1 billion in losses for Goldman Sachs,120,7140,0.31877008686631414,0.1271186440677966,0.04693089917392049,0.03605773699955684,0.032375615899796886,0.4892145638080204,0.48266367647243813,0.481768154651344,0.48597902059555054,1.0000004768371582,0.2331361472606659,0.21926027536392212,0.8057085275650024,0.46768295764923096,24,96,0.2,0.24751159098620215,1.6900869973580457,0.5071978602145228,0.9,0.680672268907563,neutral,0.575,0.20833333333333334,0.06666666666666667,0.21666666666666667,0.5083333333333333,52.56350061803554,30.5,1.2864817609961787,10.0,3.966666666666667,1.8571428571428572,6.033592789840229,0.053235454894941844,0.9945083260536194,0.053348262980579736,2.3716391671276444e-05,0.0006009185453876853,1.9224095012759766e-05,0.016595937727242927,0.6184741258621216,0.0027572133112698676,6.731438087020555e-05,0.0014526344602927566,0.0001475204713642597,0.0307979385079913,0.9914628863334656,0.014930770359933346,0.0002540158630533066,0.004546899348497391,0.00041167540766764424,0.01682906296096181,0.3321049728959527,0.013750463766533782
125d7gm,Why so much hate for the Apple Card?,113,6328,0.31729542684775813,0.2037037037037037,0.0496850564327502,0.034608828843846626,0.0288617193120858,0.48786726374739564,0.49166717533347126,0.48511716780899145,0.4884883314371109,0.6667600274085999,0.3127957880496979,0.3118821978569031,0.8311084508895874,0.5241474509239197,11,102,0.09734513274336283,0.11898623906339692,1.8387585367957835,0.5518144313114514,0.8230088495575221,0.7232142857142857,neutral,0.504424778761062,0.2831858407079646,0.05309734513274336,0.12389380530973451,0.5398230088495575,51.35368721311995,38.0,1.0667218115960577,7.0,2.4601769911504423,1.6428571428571428,4.17339312406577,0.056825682688277805,0.9536618590354919,0.10767517387866948,6.502084827248048e-05,0.0040958346799016,1.834729919210074e-05,0.023426942105192035,0.797142505645752,0.00221963822841644,6.882828945456025e-05,0.0008610979421064258,0.00012612527352757748,0.026512646072724962,0.9184525012969971,0.016794604249298545,0.0002393523101791208,0.004632817581295967,0.0005827029002830385,0.01785641205235016,0.3123880924410211,0.022873550176397306
12t5v76,Has the Apple Card become slightly better?,190,17955,0.31692088068871016,0.15730337078651685,0.051744175758668375,0.03581383818334458,0.02983119229151302,0.4957798695736893,0.5006923556170135,0.49405046987752665,0.5001196265220642,0.7880587577819824,0.28242355585098267,0.2741323709487915,0.832412838935852,0.5335888266563416,17,173,0.08947368421052632,0.12396458617754673,1.8133353780497574,0.5441848999701444,0.8315789473684211,0.7142857142857143,neutral,0.49473684210526314,0.21578947368421053,0.15263157894736842,0.14736842105263157,0.4842105263157895,46.651105570709994,42.75,0.9872699998256738,9.0,2.705263157894737,1.5810810810810811,5.418021978021978,0.05073196389543897,0.8905152082443237,0.02444905936717984,3.1783163062994535e-05,0.002218477427959442,7.760368316667154e-06,0.014069515320969865,0.8233422636985779,0.0006352385913487524,4.563745689761402e-05,0.0006988178356550634,5.875278220628386e-05,0.03105332574406547,0.834426999092102,0.005521255871281001,0.00034515698094573485,0.01170732919126749,0.0004059631319250911,0.01604623042689677,0.3411733691027621,0.006437822632824462
13tiqrc,Is Apple Card a Good Card to have?,158,12403,0.31121905740453965,0.11805555555555555,0.04986842665100617,0.03790862614802979,0.03358320276106622,0.48739021835712176,0.48605989056456084,0.4817895218339513,0.48512789607048035,0.7419205904006958,0.28342077136039734,0.2566555440425873,0.8532760739326477,0.5476513504981995,14,144,0.08860759493670886,0.11756256293458274,1.75920945887118,0.5279416234805716,0.8037974683544303,0.7133757961783439,neutral,0.4873417721518987,0.3037974683544304,0.0949367088607595,0.20253164556962025,0.3987341772151899,62.80898402779199,39.75,1.4708491887344204,7.0,2.1012658227848102,1.2741935483870968,3.068681318681319,0.028321614100110033,0.9857478737831116,0.005417795618996035,6.576899692220914e-05,0.0076133632101118565,5.025758036936178e-06,0.0144040402049345,0.7787478566169739,0.0002448293249472046,0.0030636626050676843,0.46194708347320557,9.42716927966103e-05,0.010391772083390675,0.8962010145187378,0.0013299979385919878,0.00032068300680305274,0.01069224439561367,0.0002763943193713203,0.009427923499538025,0.4465711506588074,0.0012012182318282333
1869ky6,Apple Pulls Plug on Goldman Credit-Card Partnership,185,17020,0.3191852042169282,0.21818181818181817,0.044834792648774234,0.034445057350288216,0.03084249871883912,0.47955860660513194,0.4866376232973067,0.4785606374944419,0.4823160767555237,1.0,0.23624420166015625,0.21362824738025665,0.9132603406906128,0.49653515219688416,32,153,0.17297297297297298,0.20963163887326783,1.9826453114520028,0.5949950867054548,0.8756756756756757,0.7336956521739131,neutral,0.5081081081081081,0.20540540540540542,0.05945945945945946,0.11891891891891893,0.6162162162162163,63.99655624409015,37.0,1.3661854263970319,10.0,3.3405405405405406,1.6629213483146068,4.799894123875066,0.06965223246307516,0.9963665008544922,0.18756388425827025,0.0006658854641273138,0.10089930146932602,1.6463698921143042e-05,0.031734402651380986,0.9727493524551392,0.0018779691774398078,0.0002997737101100643,0.03179550543427467,0.0001768174988683312,0.03833342001767911,0.9847479462623596,0.02330290228128429,0.0007511326537988262,0.028841769322752953,0.0009679477196186773,0.023572807826695234,0.5038256619009189,0.0479484341442002
1eshtor,Apple Card $300 SUB offer via email,46,1035,0.3085022615758996,0.05263157894736842,0.060397540531724546,0.05202777795720305,0.05001065807575641,0.49432307385304125,0.4991779277290123,0.4918720911378446,0.5018681287765503,0.7956584095954895,0.2132524996995926,0.18610897660255432,0.6411730051040649,0.42579156160354614,18,28,0.391304347826087,0.4425541811582187,1.9903723506049162,0.5973139837387306,0.7608695652173914,0.8,neutral,0.41304347826086957,0.10869565217391304,0.2391304347826087,0.15217391304347827,0.5,33.32551972063277,19.75,1.4128791770959517,9.0,2.130434782608696,1.3333333333333333,2.898550724637681,0.04910156773289402,0.9488800168037415,0.005488886497914791,0.0003277981624690888,0.011017373763024807,4.634468950825976e-06,0.04038980067110495,0.9430210590362549,0.0003562185447663069,7.891635507052263e-05,0.0013162411050871015,9.639594645705074e-05,0.012037414187943796,0.2786307632923126,0.0006885467446409166,0.00022155593021876564,0.0032383850775659084,0.00025854638079181314,0.017026175506616864,0.3407718147500418,0.0011697130621162919
1fj3g62,JPMorgan in talks with Apple to take over the Apple Card from Goldman,143,10153,0.31655662706200505,0.14788732394366197,0.04683805686060746,0.03713614026219009,0.03401322908059728,0.47319990852795407,0.48544896230003254,0.47435996506873535,0.48043474555015564,0.7839636206626892,0.1849031150341034,0.16026657819747925,0.8014960289001465,0.39934244751930237,13,130,0.09090909090909091,0.12808736277600893,1.7904986985876927,0.5373315752740369,0.7552447552447552,0.6690140845070423,neutral,0.5524475524475524,0.11888111888111888,0.0979020979020979,0.13986013986013987,0.6433566433566433,70.08897819063652,38.0,1.838020150607193,9.0,2.923076923076923,1.4927536231884058,3.7608108108108107,0.0686896731932501,0.9738165736198425,0.13758818209171292,0.0003710349832798644,0.026905018836259842,1.3242736167740067e-05,0.03450829615853668,0.9378721714019775,0.001099278125911951,0.0009980028966488867,0.12662535905838013,0.0001421435648808255,0.03393676981312212,0.8503121137619019,0.0319418556988239,0.0009851048978218985,0.050067316740751266,0.00048186389612965287,0.02324814699044325,0.4067998888979976,0.044079078268957
1hoczgi,Apple Card offering rare sign up bonuses for a limited time: up to $300,34,561,0.30930508859455585,0.09375,0.05917592412347247,0.051314449687003716,0.04895013756401194,0.49452943566011237,0.487151160065928,0.4874637977962188,0.486980140209198,0.8888290524482727,0.2230784147977829,0.21827179193496704,0.6129819750785828,0.4167942702770233,7,27,0.20588235294117646,0.2507484035895151,1.5602982517726534,0.46824804630332084,0.8529411764705882,0.5454545454545454,neutral,0.5882352941176471,0.20588235294117646,0.20588235294117646,0.17647058823529413,0.4117647058823529,12.937566341370786,14.75,0.687308211885323,6.0,2.6176470588235294,1.4375,2.607594936708861,0.041766639140619455,0.9469234347343445,0.0028661693446338167,0.0003050658618503001,0.01012500561773777,3.721895609487546e-06,0.029415652098631492,0.9416019916534424,0.00021416306990431618,7.899268835257423e-05,0.0009601181955076754,7.672640567761845e-05,0.006159323198089088,0.1485854685306549,0.00041614260408096,0.00029322802081022765,0.003407845739275217,0.0002004348119953647,0.013003150168058858,0.3419339774118271,0.0006147575825859044
1i2o19q,Goldman Sachs CEO says Apple card partnership may end before 2030 - Reuters,82,3321,0.30787689172768895,0.11392405063291139,0.052773170483726886,0.03780519073589486,0.03216449404372653,0.5009918932687156,0.49800214099618406,0.4960917356465818,0.5007583498954773,0.7748780250549316,0.3209342360496521,0.3200479745864868,0.7761229276657104,0.5696690678596497,10,72,0.12195121951219512,0.13531167971015703,1.59827289006126,0.4796442970954458,0.8780487804878049,0.6666666666666666,neutral,0.524390243902439,0.2682926829268293,0.06097560975609756,0.17073170731707318,0.5,36.64605738293365,34.0,0.9226210332823332,7.0,2.5,1.7647058823529411,3.651270207852194,0.026916090633632136,0.8569229245185852,0.02447349037975075,1.802104833082123e-05,0.0009847305482253432,4.069214764967912e-06,0.00913777225610918,0.5727266669273376,0.00040335825178772276,9.947292109267792e-05,0.004374001640826464,0.00010662999411579223,0.01209646215106548,0.5451180338859558,0.003704898455180239,0.00020826476682531193,0.0024854678194969893,0.0004345422930782676,0.008079347296175935,0.2807524437909403,0.006783955630688379
1inuuyz,Is apple card worth to get,64,2016,0.3160053954001457,0.1746031746031746,0.04872578473227148,0.03634683273828255,0.031969310855361505,0.4844047534723012,0.48421317203679964,0.4778015221809111,0.48434247076511383,0.8298943042755127,0.24754031002521515,0.22303645312786102,0.8268111944198608,0.532999575138092,10,54,0.15625,0.1780439059366472,1.817717165935363,0.545499881650358,0.828125,0.746031746031746,neutral,0.453125,0.25,0.109375,0.109375,0.53125,60.73076309365378,44.5,1.2693562501612807,10.0,2.484375,1.1923076923076923,3.3484848484848486,0.044974893061407784,0.8201953768730164,0.10001248456537755,3.305719337376445e-05,0.0012974184937775135,1.0232398290099825e-05,0.013401010378629508,0.46992310881614685,0.0015289615024812538,5.532451251610837e-05,0.0007031457498669624,0.00011228025468881244,0.022583689758334913,0.7406886219978333,0.023763131350278917,0.00017571749873468434,0.001222596038132906,0.00044944593100808587,0.01353728206716613,0.26060089900632494,0.02719773704364655
1jmw8pm,Apple Card with Goldman Sachs is terrible! (dispute process),46,1035,0.33502117262946235,0.3111111111111111,0.046488755836505385,0.035421184738744546,0.031708083709024185,0.5013297517806435,0.49853962576331723,0.4902326522529989,0.49632617831230164,0.7290294766426086,0.23308773338794708,0.21096345782279968,0.6795510649681091,0.46338462829589844,14,32,0.30434782608695654,0.34115483385065326,2.017110314902804,0.6053380903673126,0.8913043478260869,0.8,neutral,0.41304347826086957,0.21739130434782608,0.043478260869565216,0.06521739130434782,0.6739130434782609,129.54227255252178,36.5,2.360913049689383,6.0,1.7391304347826086,1.105263157894737,2.1363636363636362,0.17353278032185146,0.9955307841300964,0.9133703112602234,0.003465124441697259,0.09509079903364182,0.0015413015498779714,0.1158700389566508,0.975691020488739,0.6279392242431641,0.00013731256184774279,0.001388896838761866,0.000361034442903474,0.10335404412493833,0.8962127566337585,0.5153892189264297,0.0013820518546234107,0.027348797768354416,0.003058398491702974,0.06629022537693485,0.4972022909399432,0.31557171869364237
1jp9ifl,Visa and American Express Vying to win Apple Card Deal in ‘Fierce’ Fight,68,2278,0.30999645110099544,0.06451612903225806,0.05000362508546339,0.04106761087166196,0.03846759539708363,0.4679330636120031,0.4802695479083731,0.46919250744701585,0.480589896440506,0.8386560678482056,0.22667425870895386,0.18719804286956787,0.8249480128288269,0.5157326459884644,6,62,0.08823529411764706,0.12326849599861923,1.5525363547840925,0.4659186883768013,0.8970588235294118,0.6268656716417911,neutral,0.6176470588235294,0.20588235294117646,0.07352941176470588,0.20588235294117646,0.5147058823529411,43.28785320726956,36.25,1.2921747226050615,7.0,2.6176470588235294,1.4705882352941178,3.3066666666666666,0.03361487439371344,0.9792762994766235,0.01510727107524865,5.77121508994798e-05,0.002860221080482006,8.787975866653123e-06,0.022937882431854045,0.7421286106109619,0.0003846569539746264,5.861125338710468e-05,0.0008431338937953115,9.07609617570415e-05,0.017443335326628156,0.8560454845428467,0.0022768566268496155,0.0004242047551302034,0.015734147280454636,0.0004525549476966258,0.012422770051935409,0.43043781697633676,0.003499376799375855
1l98teo,Could US Bank be making a play for Apple Card?,65,2080,0.3140619213382403,0.13333333333333333,0.0505540795921195,0.039525622392448403,0.03566612384880881,0.49461391950742556,0.49017450062987894,0.4886499933182047,0.49191296100616455,0.8233464360237122,0.2569035291671753,0.24959823489189148,0.7326841950416565,0.480226069688797,9,56,0.13846153846153847,0.189202212742888,1.3543574225940707,0.4064448680921028,0.9230769230769231,0.59375,neutral,0.6615384615384615,0.15384615384615385,0.13846153846153847,0.27692307692307694,0.4307692307692308,45.59604986524172,24.0,1.2660159082617306,8.0,2.6307692307692307,1.34375,4.030701754385965,0.027735657450438548,0.9686185717582703,0.01486112363636495,0.0002885181831621034,0.018528250977396965,6.673625193798218e-06,0.01564108843354356,0.9596824049949646,0.0006317733321338895,0.00013882981567383886,0.005381766706705093,9.12519069970586e-05,0.012850485830411065,0.5185160040855408,0.0016850219573825605,0.00021088307806236956,0.005500223487615585,0.00034886877401731916,0.009477577131881914,0.3702515071975843,0.003480808634776626
1lmr898,Any news on the new issuer for the Apple Card? It's been really quiet for the Apple Card this year so far.,47,1081,0.32808281955393875,0.3181818181818182,0.0470045802956031,0.03225666123630115,0.026911312992258563,0.4787030471049449,0.47912580309699354,0.4751261535421993,0.48399093747138977,0.6572385430335999,0.28542691469192505,0.2721801996231079,0.7494123578071594,0.5673063397407532,5,42,0.10638297872340426,0.13452995524920047,1.1110567049561568,0.33342992651364567,0.9148936170212766,0.5,neutral,0.723404255319149,0.10638297872340426,0.0851063829787234,0.06382978723404255,0.7446808510638298,53.609742835936686,36.5,0.9804116394120718,10.0,4.127659574468085,1.206896551724138,4.417391304347826,0.12566569977578648,0.9875743985176086,0.7491661906242371,0.00012926451858887996,0.005004297476261854,2.80622636637417e-05,0.03487317463251647,0.8718335628509521,0.0013550531119108193,4.7902812126422043e-05,0.0003128227253910154,0.00013181754766264923,0.10222846076423128,0.9835777282714844,0.5181717574596401,0.00027127841113202097,0.003563160542398691,0.0007091114413924515,0.04386929681906358,0.44063937672035536,0.24880064079282718
1mcd4d4,JPMorgan Nears Deal to Take Over Apple Card,144,10296,0.3070419522097511,0.13138686131386862,0.04932440079104615,0.03833046528861424,0.0346036532595919,0.49670577566946256,0.49121890673826346,0.4903825660118227,0.5010250508785248,0.6784316301345825,0.27334102988243103,0.27106213569641113,0.7863128781318665,0.506391167640686,11,133,0.0763888888888889,0.12380303143678854,1.788477890648204,0.5367251275205097,0.8472222222222222,0.6853146853146853,neutral,0.5694444444444444,0.19444444444444445,0.1527777777777778,0.1875,0.4652777777777778,34.40591412945358,31.25,0.984784662023716,7.0,2.5,1.8775510204081634,4.478802992518704,0.05545398576254633,0.9830372929573059,0.010973847657442085,0.0005046689715015873,0.04103945940732956,4.0970642658066926e-06,0.038403995599878726,0.9173358678817749,0.00027199233591090877,0.0001633723694125264,0.007167662959545851,0.00011635267510428064,0.017968017189862923,0.8172711133956909,0.003245622664690001,0.00039798045168026874,0.02158423513174057,0.00032353906717616943,0.01881533672414707,0.4112232942134142,0.0026607127795386953
1muzolr,Apple Card offering to double their cash back %,28,378,0.29718667710268937,0.037037037037037035,0.05291490247725677,0.04495188345344978,0.042827794849463106,0.47225411646265203,0.48277181055810714,0.4732204993408193,0.47652071714401245,0.7009570598602295,0.20139409601688385,0.14751595258712769,0.741226077079773,0.4859570860862732,3,25,0.10714285714285714,0.1437328409935747,1.3984938475273019,0.4196902810907517,0.8214285714285714,0.7407407407407407,neutral,0.5357142857142857,0.21428571428571427,0.03571428571428571,0.32142857142857145,0.42857142857142855,25.469068875554814,25.5,0.963694497993966,4.0,1.6785714285714286,1.5714285714285714,1.7586206896551724,0.009302923292645053,0.12438042461872101,0.0075975836720317625,6.097896273006752e-06,0.00010255761299049482,5.749460115112018e-06,0.003243644180526774,0.0878247618675232,0.0004415357077959928,5.110381321823557e-05,0.00034653296461328864,0.00010313773236703128,0.0030913454302208265,0.06947959959506989,0.0004825883166631687,0.00012891514286041326,0.0005469503812491894,0.0002660280384588987,0.002637338292624052,0.03761005081590459,0.001539122586291342
1mwtzk1,Apple Credit Card Worth it?,32,496,0.3028775380346282,0.06896551724137931,0.049533293521836386,0.03626613728375678,0.031292798761721904,0.5132645462910014,0.49721594917918405,0.5012195435382666,0.5026066303253174,0.6431883573532104,0.29887908697128296,0.28596919775009155,0.6632693409919739,0.5469669699668884,1,31,0.03125,0.0702338480623439,1.6731947481222247,0.5021284687098181,0.875,0.7741935483870968,neutral,0.5,0.25,0.15625,0.03125,0.5625,38.58817014319285,39.25,0.9326445956058694,5.0,1.59375,1.0,1.631578947368421,0.01464126881910488,0.4361717998981476,0.0025812409818172445,1.1734345115144151e-05,0.0003145648224744946,2.468921752551978e-06,0.013832730287276718,0.4357087314128876,0.00011763894217438062,3.563611414847401e-05,0.00025380210718140006,6.338410676107742e-05,0.001476174041044942,0.04006743058562279,0.0005684252071660012,0.00011093527211869514,0.0008831552695482969,0.00012575893197208643,0.0050180798131348086,0.15223324734931035,0.0005730145969209842
1n7kt93,If Chase acquires the Apple Card what benefits do you think will be added or taken away?,31,465,0.3124257226785024,0.1,0.05756642358518406,0.044724255435801365,0.04026858498386739,0.5063432983813747,0.4955028476894543,0.49807320634524027,0.5035538077354431,0.7078825235366821,0.2944318354129791,0.27554333209991455,0.7116970419883728,0.5471321940422058,0,31,0.0,0.03147041602360626,1.7599692052701132,0.5281696246121388,0.7419354838709677,0.7,neutral,0.4838709677419355,0.03225806451612903,0.16129032258064516,0.16129032258064516,0.6451612903225806,34.94219993229134,27.0,1.044559496529442,5.0,2.2903225806451615,1.2857142857142858,2.757575757575758,0.002916022148471506,0.025769224390387535,0.001659832545556128,1.9435375810233734e-06,6.593941179744434e-06,3.248227812946425e-06,8.784559618253561e-05,0.000795267173089087,0.00016693538054823875,2.986046133775099e-05,9.511268581263721e-05,5.212307223700918e-05,0.0013039541724626155,0.012620040215551853,0.00024671718711033463,0.00013379524194357556,0.0012022411683574319,0.0001505699910921976,0.000745570192996501,0.006664064290058984,0.0003716286228912698
1n7vxol,I regret getting Apple Card,19,171,0.31431056062380475,0.16666666666666666,0.040965884734142935,0.025979476173403987,0.020943914459523066,0.4814769064473827,0.48529833912500864,0.47972465973151357,0.49265366792678833,0.7477558851242065,0.3234134614467621,0.34474971890449524,0.7248413562774658,0.6206512451171875,5,14,0.2631578947368421,0.2795507805912118,1.7577226676787694,0.5274954350224891,0.8947368421052632,0.6666666666666666,neutral,0.47368421052631576,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.47368421052631576,76.082583794103,77.0,0.9560642143438869,5.0,2.263157894736842,1.375,2.978723404255319,0.08642839176708979,0.6934152245521545,0.41924819946289066,3.9336213932840204e-05,0.00041560031240805984,8.858459186740206e-05,0.0360840237556802,0.42966118454933167,0.07183673977851854,0.00010782139007029687,0.0009016302064992487,0.00025598785723559555,0.04190981399044272,0.5973160862922668,0.061735901236534066,0.0002869928449447463,0.0013547209091484547,0.0006732616340741511,0.027476063327026765,0.21528540509014724,0.1305651164691274
1ncm2e2,"Best Card for iPhone Launch, Other Than AppleCard",41,820,0.31463496974020294,0.12121212121212122,0.06180865162858026,0.05225642832935398,0.04941191852032317,0.49763053641086674,0.5000629844098556,0.49629169578959303,0.5039483904838562,1.0000003576278687,0.23556190729141235,0.21628370881080627,0.7224426865577698,0.441931813955307,4,37,0.0975609756097561,0.13389304539234173,1.66118143334851,0.4985232533825383,0.9512195121951219,0.8,neutral,0.5121951219512195,0.3902439024390244,0.024390243902439025,0.2926829268292683,0.2926829268292683,15.79403422036922,19.0,0.7755154527366922,4.0,1.6585365853658536,1.2,1.5625,0.029020936999231486,0.9619091749191284,0.0016324626049026847,0.00046178136086304797,0.018862567842006683,2.261935151182115e-06,0.023373671066044,0.9558985233306885,8.162674930645153e-05,5.2977891710924736e-05,0.0008616154082119465,4.825048745260574e-05,0.008406793826441394,0.1792111098766327,0.00033695201273076236,0.00019997401596345122,0.0038567064329981804,0.0001399074390064925,0.01025268919337572,0.35343328296827775,0.0003793973307134972
1p1hyq6,What to do if Apple Card gets thanos snapped?,31,465,0.3155281793686651,0.0967741935483871,0.04561314174693748,0.03765178439378615,0.035143676886576686,0.47471709635949905,0.46695713862296073,0.46578471231204205,0.47539129853248596,0.7227073907852173,0.20228970050811768,0.17234504222869873,0.6358047127723694,0.45231786370277405,1,30,0.03225806451612903,0.07967018624467234,1.6398147271199954,0.49211107004767113,0.967741935483871,0.7333333333333333,neutral,0.5483870967741935,0.22580645161290322,0.03225806451612903,0.1935483870967742,0.5483870967741935,39.32256741379544,31.5,1.1183482475483106,5.0,2.193548387096774,1.5,2.922222222222222,0.041714319906708215,0.6195945143699646,0.04176212474703789,1.9576694197190414e-05,0.00042421603575348854,7.098903552105185e-06,0.011304298879681042,0.2721420228481293,0.0007313036476261914,5.4784469372656704e-05,0.000494639331009239,7.330983498832211e-05,0.02413954616772131,0.5350099205970764,0.030942631885409355,0.0002982076097865619,0.002869923133403063,0.00044211518252268434,0.012921788954577828,0.19262354027993447,0.012569962699823614
