thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
1btfl6g,"Laid off - need 0 apr card, credit score 790-800. What's the best move?",72,2556,0.31549638840887284,0.1388888888888889,0.045896394109338295,0.03131750347407866,0.026014093723760148,0.48783921352434606,0.4894843712064302,0.48432432573306167,0.4885982722043991,0.7270737290382385,0.20315183699131012,0.17198731005191803,0.7449879050254822,0.46033769845962524,3,69,0.041666666666666664,0.07157832893749906,1.8627023701659415,0.5590000146983783,0.8333333333333334,0.7183098591549296,neutral,0.4722222222222222,0.2638888888888889,0.08333333333333333,0.1388888888888889,0.5138888888888888,41.84948550135826,54.25,0.8141483264246946,10.0,3.5555555555555554,1.2608695652173914,4.114441416893733,0.031156451822526934,0.5890264511108398,0.003924543666653333,2.664015526931962e-05,0.0005941845010966063,2.3173384988695034e-06,0.02473616237757091,0.608187735080719,0.00010958699567709118,4.283228602414763e-05,0.0003107476222794503,8.886991563485935e-05,0.0030390878939417438,0.056247733533382416,0.000842545600607991,0.0001384060145331508,0.001363042974844575,0.00016512156580574807,0.00985659675831104,0.20677825327826818,0.0008352585784507479
1cul4f6,Looking for a general spending rewards card.,3,3,0.22759644935528436,0.0,0.02792956716750204,0.014516068346495879,0.010622653795149045,0.37276868025461835,0.5333265662193298,0.43130741516749066,0.4246150255203247,0.4530155062675476,0.28694602847099304,0.22231532633304596,0.28694602847099304,0.4000689387321472,0,3,0.0,0.026336174458265305,0.6365141682948128,0.1910189384688593,1.0,0.5,neutral,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,46.599952312803445,57.0,0.7132645762163793,2.0,1.3333333333333333,1.0,1.0,0.0006602146313525736,0.0008611803641542792,0.0008207482518628239,1.5594424667142448e-06,1.669929133640835e-06,1.6481240436405642e-06,4.7510527413881697e-05,5.778760896646418e-05,5.704290961148218e-05,2.5295953795042198e-05,3.1494550057686865e-05,2.9801283744745888e-05,0.000163242800529891,0.0002462274569552392,0.0002253986691357568,7.218158862087876e-05,7.64383512432687e-05,7.538860081695019e-05,0.00016166749069649694,0.0002110182490658493,0.00020046100104688475
1g074zz,Seeking suggestions for a travel card!,6,15,0.2824464614192645,0.0,0.05757190046986086,0.039747114615324236,0.03243021827829871,0.49005407889684044,0.49335120916366576,0.4677804529666901,0.445324569940567,0.7771623730659485,0.22486428916454315,0.10276646167039871,0.35109513998031616,0.5855813026428223,0,6,0.0,0.07054657861590385,1.3296613488547582,0.3990335361453688,1.0,1.0,gratitude,0.3333333333333333,1.0,0.0,0.0,0.0,55.06057270558186,50.75,1.019640235288553,2.0,1.5,1.5,1.25,0.00044950917557192344,0.0006601998466067016,0.0005580295110121369,1.3849632978235604e-06,1.6582885109528434e-06,1.58981612230491e-06,3.3228316472862694e-05,5.2780767873628065e-05,4.3688545702025294e-05,1.8313206510356395e-05,2.1120920791872777e-05,2.025619050982641e-05,0.00011488563541206531,0.00014107923198025674,0.00012899689318146557,6.975982008346666e-05,7.480734348064288e-05,7.42650154279545e-05,0.00011451351955808299,0.00015808663276099347,0.00013693657302837892
1i073x5,Travel and Everyday Rewards Card Recommendation,3,3,0.22371125717957815,0.0,0.013803446517648603,0.006136548633855679,0.004312777006591474,0.44441529115041095,0.4719802538553874,0.4250081380208333,0.4219551384449005,0.46275460720062256,0.09088937193155289,0.03754132241010666,0.09088937193155289,0.19133783876895905,0,3,0.0,0.13421947757403055,0.6365141682948128,0.1910189384688593,1.0,1.0,neutral,0.6666666666666666,1.0,0.0,0.0,0.0,197.99719414397998,222.0,1.1335717221983588,2.0,1.3333333333333333,1.0,1.0,0.0009014688160580894,0.001448708469979465,0.0012910067453049123,2.6641177631366495e-06,4.944226020597853e-06,4.287038518668851e-06,0.00011600024784759928,0.0002676578296814114,0.00022468241731985473,2.8292615146104556e-05,3.291069151600823e-05,3.249779983889311e-05,0.00016100594075396657,0.00020424929971341044,0.00019161528616677969,9.031780306637908e-05,0.00012522736506070942,0.00011499095271574333,0.00021662492343921258,0.0003472829803286004,0.000309443710815079
1iu863b,Please help me choose 1 among the 3 credit cards I am looking at currently or suggest a better one,1,0,0.31316980719566345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.22368048131465912,-0.0,0.0,1.0,0.0,curiosity,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004721958830486983,0.0004721958830486983,0.0004721958830486983,1.3319059917193954e-06,1.3319059917193954e-06,1.3319059917193954e-06,2.304456393176224e-05,2.304456393176224e-05,2.304456393176224e-05,2.049505928880535e-05,2.049505928880535e-05,2.049505928880535e-05,0.00011173370876349509,0.00011173370876349509,0.00011173370876349509,0.00010037727770395577,0.00010037727770395577,0.00010037727770395577,0.00012152973312140603,0.00012152973312140603,0.00012152973312140603
1jer2sm,Can someone help recommend which of these cards would be best/help explain the difference between some of these?,3,3,0.22206133852402368,0.0,0.0452183614409142,0.030262364612768877,0.022197799690653303,0.33496808012326557,0.4830164810021718,0.3852625985940297,0.3167329728603363,0.5382816195487976,0.2178431749343872,0.11524999886751175,0.2178431749343872,0.4425419569015503,0,3,0.0,0.09926930007835229,0.6365141682948128,0.1910189384688593,1.0,0.5,neutral,0.6666666666666666,1.0,0.0,0.0,0.0,103.76362025724087,114.5,0.6948456713654523,2.0,1.3333333333333333,1.0,1.0,0.16477277848753147,0.4930049180984497,0.3945806602248922,3.7857891735863326e-05,0.00010825417120940983,8.741405226828647e-05,0.041703137820150005,0.12494036555290222,0.09998067875858398,5.6899226668368406e-05,0.00012291860184632242,0.00010406786786916201,0.09445251311505369,0.2831275165081024,0.22652640563755996,0.0003057779006970425,0.000754033331759274,0.0006233584819710814,0.050221494073639406,0.15034300104404488,0.12031709750385744
1jgzgvh,Card Recommendation With Only Student Loan Credit History,7,21,0.29163255436079843,0.0,0.04563550555103208,0.02921643031262846,0.023980480852075232,0.4342044535137358,0.5220440782251812,0.46816069455373854,0.470702201128006,0.5790347456932068,0.3562285304069519,0.34949013590812683,0.5036978721618652,0.5555719137191772,1,6,0.14285714285714285,0.15194540204746382,0.7963116401738131,0.23897442000999627,1.1428571428571428,0.5,neutral,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,23.91310800991535,33.5,0.5579725202313582,5.0,2.4285714285714284,1.0,2.0,0.0004751324013341218,0.0007794225821271539,0.0006122028455138207,1.500447102184158e-06,2.2245917534746695e-06,1.787469363989658e-06,4.336194095750605e-05,0.00012300806702114642,6.945328495930884e-05,2.034072141603766e-05,2.485747063474264e-05,2.409034968877677e-05,0.0001145336521273878,0.00015521929890383035,0.00013038664474152029,7.174939310061745e-05,8.97366480785422e-05,8.714339637663215e-05,0.00012110309267297582,0.00019017490656854838,0.000151801525813274
1owm5i0,I'm pre-approved for both Sapphire Preferred and Capitol One Venture One - which provides the quickest path to Venture X?,21,210,0.30493831932544707,0.05,0.05130063931321396,0.03463147719490259,0.02832991964642635,0.47811184922854105,0.48940421030634923,0.4805109127646401,0.47734980285167694,0.7013548612594604,0.3204689025878906,0.32188746333122253,0.7189425230026245,0.6181083917617798,6,15,0.2857142857142857,0.25760976739582564,1.9633815843099565,0.589214010819139,0.9523809523809523,0.85,neutral,0.38095238095238093,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.6190476190476191,32.1937868120085,30.0,0.712402026398502,3.0,2.0,1.5555555555555556,1.8857142857142857,0.000758686837451976,0.0040045189671218395,0.0008013685001060367,1.8910724022481146e-06,5.3790327001479454e-06,2.0518054952844977e-06,6.535482662868508e-05,0.000487975514261052,7.150542660383508e-05,5.318322794101689e-05,0.0006568412063643336,2.5736871975823306e-05,0.00013433030523758913,0.0005004426930099726,0.00015566142974421382,8.103973405446769e-05,0.00018600340990815312,8.676830475451425e-05,0.00018241433395266385,0.0008912717562452599,0.00018854739973524678
1qzngmc,Waiting over a week for Venture One card approval - should I even bother?,4,6,0.2869935855269432,0.0,0.04635389661355919,0.04023215301044048,0.038391489340328766,0.5000107785065969,0.5529706875483195,0.5248438268899918,0.521099328994751,0.580978274345398,0.48509979248046875,0.5036481618881226,0.48509979248046875,0.5871134996414185,2,2,0.5,0.48211408592760563,0.6931471805599453,0.20801459767650946,0.75,0.3333333333333333,neutral,0.5,0.0,0.0,0.25,0.75,12.658988901172163,23.0,0.6175116537157153,3.0,1.75,1.0,1.3333333333333333,0.002021621556195896,0.0064681824296712875,0.004757415736094118,2.490799289489587e-06,5.484988378157141e-06,4.366622681573063e-06,7.072504558891524e-05,0.0001798085868358612,0.00013907195680076259,4.987693864677567e-05,0.00012010291538899764,9.547477420710493e-05,0.0005447267321869731,0.001846924889832735,0.0013299119935254568,0.00011293205443507759,0.0002092662180075422,0.00017589917333680206,0.00046706218772385455,0.0014716283380190969,0.001083690042774303
1s1s1ue,"Current Rewards Offers, Capitol One Versus Chase Sapphire Preferred.",6,15,0.2872825786471367,0.0,0.04101747672425052,0.02833571194660943,0.023063741876311463,0.46075711846351625,0.48220346768697103,0.46953228712081907,0.4695873558521271,0.5239707827568054,0.22003205120563507,0.10185551643371582,0.3311164975166321,0.5815482139587402,1,5,0.16666666666666666,0.11122425055752198,1.242453324894,0.37286226613644224,0.8333333333333334,1.0,neutral,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,51.79366113081149,12.75,0.8560935724101073,1.0,1.0,0.0,0.0,0.0006021308654453605,0.0011746118543669581,0.0008929822070058435,1.7570754190880204e-06,3.3175408589158906e-06,2.549624753100943e-06,4.377285222290084e-05,0.00010106843546964228,7.092223677318543e-05,2.4859267796273343e-05,4.29221399826929e-05,3.722535439010244e-05,0.0001143957233580295,0.00012312072794884443,0.00012152742056059651,8.495715216364867e-05,0.00013232608034741133,0.00011475094652269036,0.00014531215606755017,0.0002611530148518189,0.00020578890751229056
