thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
102qisf,Is Chime good for first time credit card users?,4,6,0.2882535681128502,0.0,0.051291363959504684,0.036881436989572074,0.03177210932922951,0.5369616349538168,0.5017828096946081,0.5163828531901041,0.5129626989364624,0.5534003973007202,0.41316092014312744,0.4597133994102478,0.41316089034080505,0.5306925773620605,1,3,0.25,0.24908020859584212,0.5623351446188083,0.16875769266311968,0.75,0.6666666666666666,neutral,0.75,0.0,0.25,0.25,0.5,25.26361019331956,25.5,0.673696271821855,1.0,1.0,0.0,0.0,0.006040119093086105,0.022755108773708344,0.01607951286132448,2.22406580974166e-06,4.702326350525254e-06,3.7532838291554075e-06,0.00013339492352315574,0.000444007950136438,0.00032186752505367625,5.841181746291113e-05,0.00017352394934277982,0.0001283121600863524,0.0013617409604194108,0.005102228373289108,0.0036065177933778626,0.00025054452271433547,0.0007318516145460308,0.0005471455973747653,0.0013077392305026099,0.004868570497895537,0.0034460015835084817
11aea05,is the chime credit builder card good,1,0,0.3179214596748352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.01597743295133114,-0.0,0.0,1.0,0.0,confusion,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00040880663436837494,0.00040880663436837494,0.00040880663436837494,1.372404085486778e-06,1.372404085486778e-06,1.372404085486778e-06,3.1592495361110196e-05,3.1592495361110196e-05,3.1592495361110196e-05,1.836906449170783e-05,1.836906449170783e-05,1.836906449170783e-05,0.0001105317787732929,0.0001105317787732929,0.0001105317787732929,6.25100001343526e-05,6.25100001343526e-05,6.25100001343526e-05,0.00010553039620238754,0.00010553039620238754,0.00010553039620238754
135ww55,Will the Chime Credit Card help me?,8,28,0.307127483189106,0.0,0.06682923009567397,0.04545948758908048,0.03776965760938238,0.5166367664933205,0.507202783865588,0.5071688964962959,0.5078437626361847,0.6386114358901978,0.3356104791164398,0.39012229442596436,0.5322351455688477,0.5725885629653931,2,6,0.25,0.3625811687670648,1.7328679513998633,0.5200364941912736,1.125,1.0,neutral,0.25,0.125,0.5,0.125,0.25,17.178747771592665,12.25,0.5750208459110515,3.0,1.875,1.6666666666666667,1.7272727272727273,0.00047944044490577653,0.0006753982743248343,0.0006049638439435511,1.3907365854493037e-06,1.6188813560802373e-06,1.5226096934384259e-06,3.3425742003601044e-05,4.369751695776358e-05,4.1817665987764485e-05,1.9658552218970726e-05,2.6715826606960036e-05,2.285408681927947e-05,0.00011713453568518162,0.00014125098823569715,0.00013785386399831623,7.165236593209556e-05,8.024180715437979e-05,8.003501425264403e-05,0.00012045039622184579,0.00016067837666848087,0.0001459124685216769
15q5f5q,If I get a Chime credit builder card?,3,3,0.3108386794726054,0.0,0.033377484780740006,0.027163953730460443,0.02305300310060712,0.48779163757960003,0.41888830065727234,0.4352492094039917,0.43193474411964417,0.5159645080566406,0.1926211565732956,0.0644775927066803,0.1926211267709732,0.38285958766937256,0,3,0.0,0.08715471252799034,1.0986122886681096,0.32969533691986563,0.6666666666666666,1.0,neutral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,23.612614331233114,27.5,0.9703814108725938,2.0,1.6666666666666667,2.0,1.3333333333333333,0.00047102244570851326,0.0005083803553134203,0.0005003428959753364,1.4634527284821768e-06,1.8051570123134297e-06,1.7067871795006796e-06,3.338860915391706e-05,4.7291116061387584e-05,4.3225806803093295e-05,2.1418611747018684e-05,2.669280547706876e-05,2.5163517784676513e-05,0.00011288755922578275,0.00012026989134028554,0.00011858926445711404,7.085778149000059e-05,7.225937588373199e-05,7.193356286734342e-05,0.00011850641000895241,0.00012715913986009278,0.00012524162648333003
1bz1vpg,(18y/o) Is Chime’s “Credit Builder Card” a good first option?,7,21,0.2969012813908713,0.0,0.06958813667258008,0.04465784478627244,0.034689682324166186,0.5181737840175629,0.5271160290354774,0.521209010056087,0.5206298232078552,0.6315502524375916,0.4635303020477295,0.4441845417022705,0.5682957172393799,0.611585259437561,1,6,0.14285714285714285,0.12054898855941636,0.410116318288409,0.12307657499294529,0.5714285714285714,0.3333333333333333,neutral,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,15.191297186352507,18.0,0.35925364967725526,4.0,2.2857142857142856,1.25,2.3333333333333335,0.0004498193905289684,0.0006436552503146231,0.0005530625581741334,1.5126792699707688e-06,1.6999318859234336e-06,1.6168472939170896e-06,3.488013369081143e-05,4.0898947190726176e-05,4.0416736737824976e-05,2.1065018829956118e-05,2.4844390281941742e-05,2.3108644381864e-05,0.00010632797368868654,0.00013381944154389203,0.00012261022202437745,6.884121155183363e-05,8.291800622828305e-05,7.888441177783534e-05,0.00011374106792670448,0.00015399267715565657,0.00013568037977620408
1cqg2dp,What was your credit card?,53,1378,0.2979079158800953,0.03773584905660377,0.07515061353696995,0.07118342115334851,0.07604180240898076,0.460151773124544,0.46164748598165883,0.45694060063500536,0.44949451088905334,1.0000005960464478,0.3139358460903168,0.2851504385471344,0.8674217462539673,0.6037557721138,27,26,0.5094339622641509,0.6018236441151151,0.7502310272169677,0.22514555301934974,0.9056603773584906,0.3269230769230769,neutral,0.8301886792452831,0.37735849056603776,0.018867924528301886,0.3018867924528302,0.3018867924528302,23.772821191686322,30.0,1.0732193553316651,4.0,1.2452830188679245,1.3333333333333333,2.25,0.01779449247933028,0.6912690997123718,0.0019177373964339485,3.6369692958581958e-06,3.9448754250770435e-05,4.5042296733299705e-06,0.0003508612378525113,0.009266402572393417,0.00018083626055158657,0.00022647470493366027,0.01016196608543396,5.2644406241597605e-05,0.013347191109957903,0.6267827153205872,0.00038563910056836886,0.0006289130583611967,0.025536708533763885,0.00015829495969228442,0.005391928259955236,0.22037331301574645,0.0005140229630342214
1fwly9x,"I’m 19 with no real credit cards only chime that’s about a 665 but I heard it can’t be used for anything, can you guys guide me on where should I start which credit card I don’t wanna slack💯",1,0,0.28933215141296387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.024134179577231407,-0.0,0.0,1.0,0.0,neutral,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0003640775685198605,0.0003640775685198605,0.0003640775685198605,1.3884728105040267e-06,1.3884728105040267e-06,1.3884728105040267e-06,2.5436622308916412e-05,2.5436622308916412e-05,2.5436622308916412e-05,1.8418830222799443e-05,1.8418830222799443e-05,1.8418830222799443e-05,9.55690848059021e-05,9.55690848059021e-05,9.55690848059021e-05,7.269500201800838e-05,7.269500201800838e-05,7.269500201800838e-05,9.626426344766514e-05,9.626426344766514e-05,9.626426344766514e-05
1hnxpnt,Recommended 1st Credit Card?,6,15,0.2742220511039098,0.16666666666666666,0.060352027476582214,0.032509892714719234,0.02182477646436963,0.5018752177556356,0.4882661720116933,0.4931862791379293,0.5043055415153503,0.5489675998687744,0.3747803866863251,0.34783506393432617,0.43142324686050415,0.5300475358963013,0,6,0.0,0.026713686374326546,0.8675632284814612,0.2603571376943625,0.8333333333333334,0.6,neutral,0.6666666666666666,0.5,0.3333333333333333,0.0,0.16666666666666666,42.06212336796874,53.0,0.4506656075139508,5.0,2.6666666666666665,1.0,2.0,0.0004420289284704874,0.0006601998466067016,0.0005377137713367119,1.417422102652684e-06,1.6582885109528434e-06,1.5794456658113631e-06,3.564767636513958e-05,5.2780767873628065e-05,4.540944246400613e-05,1.8305286478910904e-05,2.1120920791872777e-05,2.077181761706015e-05,0.00011481116477322455,0.00014107923198025674,0.0001337355570285581,6.618516878612961e-05,7.452509453287348e-05,7.310291766771115e-05,0.00011306594116275745,0.00015808663276099347,0.00013374192663680634
1ierpxb,Does the Chime credit builder card affect credit age?,6,15,0.30673654079437257,0.0,0.10302995346946171,0.08996355991687567,0.08291482131481143,0.4753815491994222,0.4474158823490143,0.458398977915446,0.4687681794166565,0.666541576385498,0.31814491748809814,0.3976846933364868,0.4124557375907898,0.4846120774745941,0,6,0.0,0.06440850750853618,0.45056120886630463,0.13521415251989277,0.8333333333333334,0.2,neutral,0.8333333333333334,0.0,0.0,0.16666666666666666,0.8333333333333334,11.440668201153676,15.25,0.6864400920692205,5.0,3.3333333333333335,1.25,2.1333333333333333,0.0009374005846135939,0.002300306223332882,0.0018904914031736553,1.847095499366939e-06,3.111419118795311e-06,2.6476532184460666e-06,5.0403566092427354e-05,9.567941742716357e-05,9.092528489418328e-05,6.238890485595523e-05,0.0002624321496114135,0.00014696320067741908,0.0001556192534432436,0.0003018323041033,0.00026044025435112417,9.473704873623016e-05,0.00014194240793585777,0.00012470078218029812,0.0002170660755401362,0.0005175506535882354,0.00041936142974918766
1ig2850,Fizz vs. Chime Credit Builder Card,1,0,0.2813616096973419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.04223041236400604,-0.0,0.0,1.0,0.0,approval,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11692292243242264,0.11692292243242264,0.11692292243242264,0.00014298556197900325,0.00014298556197900325,0.00014298556197900325,0.05789022892713547,0.05789022892713547,0.05789022892713547,0.00035818148171529174,0.00035818148171529174,0.00035818148171529174,0.007670591585338116,0.007670591585338116,0.007670591585338116,0.0009645605459809303,0.0009645605459809303,0.0009645605459809303,0.030658245089095242,0.030658245089095242,0.030658245089095242
