thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
1i1v9r,My First Credit Card; How do I build a 'good credit' history?,6,15,0.3231457471847534,0.3333333333333333,0.08203678137404861,0.05852264669610167,0.04974680006392791,0.5173575739065807,0.5393495082855224,0.526613974571228,0.5334916710853577,0.694512665271759,0.40106290578842163,0.4124845564365387,0.47039151191711426,0.5613885521888733,0,6,0.0,0.05083445428560177,1.242453324894,0.37286226613644224,0.6666666666666666,0.8,neutral,0.5,0.16666666666666666,0.0,0.0,0.8333333333333334,30.085526235864464,23.75,0.6246130014366325,4.0,2.0,1.0,1.6666666666666667,0.28060744384129066,0.959380030632019,0.8391371369361877,4.346905162340894e-05,0.0002288699324708432,0.00012618805067177163,0.017829075682432933,0.0958055928349495,0.05327211506664753,5.486558711709222e-05,0.0001017271788441576,9.984052303479984e-05,0.2632504682793903,0.9231212735176086,0.7892380356788635,0.0002694184161858478,0.0008580777212046087,0.0006117547600297257,0.0936757901430067,0.329915299750913,0.2804103437924823
1l81jtc,Citi secured card (This is a Rant),17,136,0.3058133445241872,0.0,0.06115104539504667,0.05326153642723508,0.05075795872474897,0.5045484920196673,0.4567143164355965,0.46952325587763505,0.47112874686717987,0.9159673452377319,0.22689390182495117,0.1867162138223648,0.6592923998832703,0.47295206785202026,5,12,0.29411764705882354,0.28525755565394373,1.2000873227678652,0.3601481599053372,0.8823529411764706,0.6875,neutral,0.6470588235294118,0.11764705882352941,0.0,0.17647058823529413,0.7058823529411765,58.79881833899626,53.0,1.4486665387868645,7.0,3.0,1.1818181818181819,2.2972972972972974,0.0007199175306595862,0.0027820279356092215,0.0012195009272545577,1.905890378432506e-06,8.888655429473147e-06,1.863705483629019e-06,4.504652850514771e-05,0.0002050684706773609,5.4676683066645634e-05,2.9349576995146516e-05,6.536601722473279e-05,4.496428446145729e-05,0.00014509444522178348,0.0005627466598525643,0.00017796023748815066,0.00010293455339064273,0.00033265785896219313,0.00014478400407824665,0.0001740414208584566,0.0006297959060551269,0.00028974577145011917
1lzv2kd,"I have a Citi Secured from 2019. As of now I have several other CCs to include the DC and the CC, every year I get a letter stating they're going to keep my deposit for another year. Options?",7,21,0.30811400214831036,0.0,0.05143311104771442,0.04126613483858359,0.03755745832377861,0.5064230348382678,0.4831955972171965,0.4909462389491853,0.49857228994369507,0.598026692867279,0.20805767178535461,0.22308917343616486,0.35557371377944946,0.4298646152019501,3,4,0.42857142857142855,0.42486175069851534,0.7963116401738131,0.23897442000999627,0.8571428571428571,0.5,neutral,0.7142857142857143,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,9.050876606546947,13.5,0.3726831543872272,4.0,1.8571428571428572,1.0,1.6666666666666667,0.00047786121805464584,0.0006956366705708206,0.0005741297034546734,1.5487899288148453e-06,2.373941924815881e-06,1.8935696516564352e-06,3.713817620466996e-05,7.463668589480221e-05,5.157710984349252e-05,2.14407523994201e-05,2.860774657165166e-05,2.6810078270500527e-05,0.00011034340111239414,0.00012184220395283774,0.00012062252790201455,7.078321089336117e-05,8.818889909889549e-05,7.79409136157483e-05,0.00011985259143221768,0.00016536222979842327,0.0001403769667907303
1mhdnd0,citi secured credit card help,2,1,0.2771013528108597,0.0,0.035730041455158804,0.032330081417405496,0.0310039565068739,0.494562566280365,0.4701814651489258,0.4820639491081238,0.4820639491081238,0.4820639491081238,0.3083961009979248,0.3083961009979248,0.3083961009979248,0.3083961009979248,1,1,0.5,0.4707717979326844,0.6931471805599453,0.20801459767650946,1.0,1.0,neutral,0.5,0.0,0.0,0.0,1.0,5.0,5.0,0.16666666666666666,2.0,1.5,1.0,1.0,0.0004797922447323799,0.0005767958937212825,0.000557395163923502,1.5206287571345456e-06,1.7577261814949452e-06,1.7103066966228654e-06,3.404964354558615e-05,4.518321293289773e-05,4.295649905543542e-05,2.152781598852016e-05,2.6380675990367308e-05,2.541010398999788e-05,0.00010593113620416261,0.00010958661005133763,0.00010885551528190262,8.080433326540515e-05,8.464185521006584e-05,8.38743508211337e-05,0.00012060430041553141,0.00014072432901457432,0.00013670032329476576
1mxk4yw,Citi secured card declined,1,0,0.2832709550857544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.027234120294451714,-0.0,0.0,0.0,0.0,optimism,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0005938688991591334,0.0005938688991591334,0.0005938688991591334,1.7299373666901374e-06,1.7299373666901374e-06,1.7299373666901374e-06,4.086806802661158e-05,4.086806802661158e-05,4.086806802661158e-05,3.5687819035956636e-05,3.5687819035956636e-05,3.5687819035956636e-05,0.0001260124408872798,0.0001260124408872798,0.0001260124408872798,8.530549530405551e-05,8.530549530405551e-05,8.530549530405551e-05,0.00014724544329662118,0.00014724544329662118,0.00014724544329662118
1n136gu,B of A / Citi secured cards?,1,0,0.0628301128745079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.020508894696831703,-0.0,0.0,1.0,0.0,neutral,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0005167803610675037,0.0005167803610675037,0.0005167803610675037,1.6855098010637448e-06,1.6855098010637448e-06,1.6855098010637448e-06,4.771235035150312e-05,4.771235035150312e-05,4.771235035150312e-05,1.9557137420633808e-05,1.9557137420633808e-05,1.9557137420633808e-05,0.00011487792653497308,0.00011487792653497308,0.00011487792653497308,6.666252738796175e-05,6.666252738796175e-05,6.666252738796175e-05,0.00012787930209393986,0.00012787930209393986,0.00012787930209393986
1rpsavb,Citi secured card,4,6,0.30353226512670517,0.0,0.03444755928243523,0.022120386588538102,0.01796157910447592,0.47957635919253033,0.5198078354199728,0.4943259557088216,0.502728283405304,0.5529018044471741,0.4528076648712158,0.3989217281341553,0.4528076648712158,0.5814294219017029,0,4,0.0,0.03323094826191664,0.5623351446188083,0.16875769266311968,1.0,0.6666666666666666,neutral,0.75,0.5,0.0,0.0,0.5,26.61766330841233,44.5,0.5915036290758295,1.0,1.0,0.0,0.0,0.001575219583173748,0.005039208568632603,0.003668041963828728,1.6409472038958484e-06,2.50116295319458e-06,2.190151917602634e-06,4.829336830880493e-05,9.794330253498629e-05,7.94484825746622e-05,7.391526401079318e-05,0.00024230490089394152,0.00017559221596457068,0.0002528680306568276,0.0006871687946841121,0.000514275094610639,0.00011929309584957082,0.0002762200601864606,0.00021455582827911715,0.00034520504820060677,0.0010575577983142164,0.0007754845721289411
6i99r5,American Student with no credit history to live in EU,2,1,0.2992071211338043,0.0,0.010573816342926217,0.00767654535785625,0.006554480208551992,0.46264275908470154,0.640778660774231,0.5373315811157227,0.5373315811157227,0.5373315811157227,0.43858203291893005,0.43858203291893005,0.43858203291893005,0.43858203291893005,0,2,0.0,0.025576858781278133,0.6931471805599453,0.20801459767650946,0.5,1.0,confusion,0.5,0.5,0.0,0.0,0.5,47.5,47.5,0.7983193277310925,1.0,1.0,0.0,0.0,0.00046549113176297396,0.0005519276019185781,0.0005346403078874572,1.2839655596508237e-06,1.2891769074485637e-06,1.2881346378890157e-06,2.68982266788953e-05,2.8577889679581858e-05,2.8241957079444546e-05,1.7691010725684464e-05,1.961191628652159e-05,1.9227735174354164e-05,0.00012140377657487988,0.00013104017125442624,0.00012911289231851698,8.003838411241304e-05,9.989411773858592e-05,9.592297101335134e-05,0.00011880108256908291,0.00013816359129729486,0.00013429108955165248
7untol,"I spend about $400 a month on general things, need help with Utilization",5,10,0.3097450315952301,0.0,0.0558903421485887,0.029295487669143295,0.021451275836078983,0.502199798822403,0.49731019139289856,0.4959252655506134,0.5040939152240753,0.6157978773117065,0.35627272725105286,0.4316596984863281,0.35627272725105286,0.6438242197036743,1,4,0.2,0.21478566378355027,1.6094379124341005,0.4829949384917788,0.8,1.0,optimism,0.2,0.8,0.0,0.0,0.2,44.826777711542015,76.0,0.6751020739690062,2.0,1.2,1.0,1.0,0.00048636150313541293,0.0005492495838552713,0.0005472161807119847,1.4991526768426411e-06,1.7712198996377992e-06,1.716477049740206e-06,3.760588479053695e-05,4.7621164412703365e-05,4.666488239308819e-05,2.2104490926722065e-05,2.7412157578510232e-05,2.6194067686446942e-05,0.00011495108774397522,0.00013528282579500228,0.0001312140462687239,6.800192350056022e-05,7.900985656306148e-05,7.535464828833938e-05,0.00012175400712900835,0.00013505044972816904,0.0001348159349428594
82akok,Citi card,6,15,0.3078286598126094,0.0,0.05459747698564942,0.033794523567913966,0.026055655954386425,0.5242580791314443,0.4974133610725403,0.5059192975362142,0.5173912048339844,0.5620269179344177,0.35510003566741943,0.3928610384464264,0.47453251481056213,0.5961931943893433,2,4,0.3333333333333333,0.32397419679909945,1.3296613488547582,0.3990335361453688,0.6666666666666666,0.8,curiosity,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,38.03835783346419,28.0,0.7109973426815737,5.0,2.6666666666666665,1.0,2.0,0.0004922677374755343,0.0007250654743984342,0.0006261398666538298,1.5117049088075873e-06,1.6594764247201965e-06,1.6319642099915654e-06,3.535710372185955e-05,3.864455356961116e-05,3.819889752776362e-05,2.546177226273964e-05,5.356406472856179e-05,3.9171857679320965e-05,0.00011201917125921075,0.0001266785548068583,0.00012228403647895902,7.191438332180648e-05,8.956796955317259e-05,8.442139733233489e-05,0.0001230886454916597,0.00017238146356627718,0.0001507612040635801
