thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
10jwo4a,Discover Cashback Credit vs Discover Chrome for students,11,55,0.30705101923509076,0.0,0.06133618015444773,0.04333463755984571,0.03611863875795442,0.513056049563668,0.5286691914905202,0.5166837285865437,0.5110372304916382,0.6315041780471802,0.44524598121643066,0.4258602559566498,0.6651772260665894,0.633755624294281,0,11,0.0,0.042940303683280945,1.4142790651247086,0.4244274505979668,0.8181818181818182,0.8,neutral,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.45454545454545453,37.91617548799409,30.0,0.9479043871998523,10.0,5.090909090909091,1.0,3.6666666666666665,0.000612731657879935,0.001572551322169602,0.0011866873828694224,1.5903324207432557e-06,2.4339517494809115e-06,2.230210156994872e-06,3.731987767836968e-05,7.070801075315103e-05,6.306359864538535e-05,3.329131455261218e-05,9.59231547312811e-05,8.803748642094433e-05,0.00012779029070357368,0.00025393065880052745,0.00018583056225907058,8.495767608771779e-05,0.00015763049304950982,0.00013141958334017545,0.0001496135248871586,0.000358828974943511,0.00027624542754741316
11vg7qd,Discover Student It Chrome over Student It?,7,21,0.3101343640259334,0.14285714285714285,0.05632653810851497,0.03508345693275311,0.02619373487733751,0.47912447793143137,0.5134208968707493,0.4913321988923209,0.49109622836112976,0.5692702531814575,0.37199586629867554,0.3926064968109131,0.4940849840641022,0.5354653000831604,1,6,0.14285714285714285,0.13942907644169672,1.277034259466139,0.3832400609166074,1.0,0.8333333333333334,neutral,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,56.70582880452558,35.5,0.8704842141045595,4.0,2.2857142857142856,1.25,2.3333333333333335,0.0004134269131879721,0.000553800433408469,0.0004918902646750212,1.4063654459407969e-06,1.7006972257149755e-06,1.5488162262045082e-06,3.15520103738111e-05,4.450595224625431e-05,3.9945149183040485e-05,2.044463690253906e-05,3.265206396463327e-05,2.5294301667599943e-05,0.00010721922444645315,0.00011946875019930303,0.00011692740954458714,6.891786740327786e-05,7.558045763289556e-05,7.509266579290852e-05,0.00010716116962666569,0.00013768347713494222,0.00012371862010240875
13wlyj6,Underrated credit card: Discover It Chrome,16,120,0.3188824117183685,0.2,0.05837333627502437,0.04718915075690186,0.04360727758392038,0.46265193695823353,0.48433369273940724,0.47110493034124373,0.49220724403858185,0.6164254546165466,0.23435650765895844,0.20333772897720337,0.5475972890853882,0.46870261430740356,4,12,0.25,0.3255655557150021,1.559581156259877,0.4680328447721463,0.875,0.6666666666666666,neutral,0.5,0.0,0.125,0.25,0.625,13.637608844661882,22.5,0.638016788054357,7.0,3.0625,1.0909090909090908,2.6666666666666665,0.018858605120840366,0.1480766385793686,0.07080236834008247,8.04686129640686e-06,8.307170355692506e-05,1.11118149561662e-05,0.005520466409848268,0.07979419827461243,0.003891656539053656,8.537794872154336e-05,0.000512457627337426,0.000243569567828672,0.005669266032327869,0.07147157192230225,0.008588629774749279,0.00016934610630414682,0.0006949797389097512,0.00038337084697559476,0.0050518514132231,0.03930599359834256,0.019355173009557802
14wrqa7,Travel a lot for work. Discover It Miles or Chrome or both?,2,1,0.3043588846921921,0.0,0.3056951458371385,0.2737912126695128,0.2577675985435955,0.6156299114227295,0.6193934679031372,0.6175059676170349,0.6175059676170349,0.6175059676170349,0.6814764142036438,0.6814764142036438,0.6814764142036438,0.6814764142036438,0,2,0.0,0.016385854221880436,0.6931471805599453,0.20801459767650946,0.5,1.0,confusion,0.5,1.0,0.0,0.0,0.0,1.5,1.5,0.009771986970684038,1.0,1.0,0.0,0.0,0.00043689900485333055,0.0004905124078504741,0.0004797897272510454,1.2959433206560789e-06,1.3038820725341793e-06,1.3022943221585592e-06,3.189731251040939e-05,3.401421054149978e-05,3.3590830935281704e-05,1.7627384295337833e-05,1.8209924746770412e-05,1.8093416656483896e-05,0.00012285449702176265,0.00013662678247783333,0.0001338723253866192,6.41490551060997e-05,6.74972397973761e-05,6.682760285912082e-05,0.00011245386618459936,0.0001246940745810813,0.00012224603290178493
15yi83y,Need advice: Discover It and Amazon Cards,4,6,0.298347607254982,0.0,0.06008454231586788,0.03579599575117226,0.02798122460673272,0.4945821563402812,0.5074811826149622,0.4998873273531596,0.4839031994342804,0.5870830416679382,0.23726822435855865,0.1709287464618683,0.23726825416088104,0.45173346996307373,0,4,0.0,0.0813008164986968,1.0397207708399179,0.3120218965147642,0.75,1.0,neutral,0.5,0.25,0.25,0.0,0.5,28.908260065247788,45.75,0.6183585040694713,1.0,1.0,0.0,0.0,0.00043099925824208185,0.00048657419392839074,0.00047125224955379963,1.370514894460939e-06,1.4911104244674789e-06,1.455172332498478e-06,3.0417628750001313e-05,3.287527579232119e-05,3.267767242505215e-05,1.9560040072974516e-05,2.1930869479547255e-05,2.1051835938123985e-05,0.0001108308551920345,0.00012412400974426419,0.00011955388617934659,6.867781485198066e-05,7.138986984500661e-05,7.069712301017716e-05,0.00011030935200058896,0.00012201478138725481,0.0001187457950341771
17bpwou,Did Discover it Chrome change?,1,0,0.2891266345977783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.04666157811880112,-0.0,0.0,1.0,0.0,neutral,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.000513149774633348,0.000513149774633348,0.000513149774633348,1.32529078200605e-06,1.32529078200605e-06,1.32529078200605e-06,2.8449814635678194e-05,2.8449814635678194e-05,2.8449814635678194e-05,2.2169029762153514e-05,2.2169029762153514e-05,2.2169029762153514e-05,0.0001289136562263593,0.0001289136562263593,0.0001289136562263593,7.971534068929031e-05,7.971534068929031e-05,7.971534068929031e-05,0.00012895381778813922,0.00012895381778813922,0.00012895381778813922
18bgfa1,Should I get the discover it card?,7,21,0.2994201736790793,0.0,0.043226717207358045,0.026995100116097744,0.021538732380296684,0.5085581001781282,0.5215880955968585,0.5099076671259744,0.5184983015060425,0.5641814470291138,0.4870810806751251,0.5146023631095886,0.5862333178520203,0.5989069938659668,1,6,0.14285714285714285,0.12812884178544795,1.4750763110546947,0.44267280310989576,0.8571428571428571,0.8333333333333334,neutral,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,34.96820713453982,38.5,0.6276344870302019,3.0,1.4285714285714286,1.0,1.3333333333333333,0.00043663972922201665,0.0005536602693609893,0.0005060641211457551,1.447824745680139e-06,1.7117163224611431e-06,1.579099443915766e-06,3.2798638910337884e-05,4.223528958391398e-05,4.00004122639075e-05,2.0139654744915398e-05,2.247511838504579e-05,2.2274110961006954e-05,0.00010692004954242813,0.00013153679901733994,0.00012208406842546539,7.013278185955382e-05,7.487343100365251e-05,7.404543430311605e-05,0.00011134644650415535,0.00013598903675908028,0.00012646196102347556
1bn07as,Discover IT Cash Back vs. Discover IT Chrome?,2,1,0.18120451644062996,0.0,0.003413848219104752,0.0026146502710885926,0.002289980931777364,0.46269577741622925,0.3126963973045349,0.37318742275238037,0.37318742275238037,0.37318742275238037,0.17125053703784943,0.17125053703784943,0.17125053703784943,0.17125053703784943,0,2,0.0,0.03400725498795509,-0.0,0.0,1.0,0.0,neutral,1.0,0.5,0.0,0.5,0.0,87.0,87.0,0.8877551020408163,1.0,1.0,0.0,0.0,0.0007121278904378414,0.000785133452154696,0.0007705323398113251,2.004767225116666e-06,2.5833580821199575e-06,2.467639910719299e-06,6.016864972480107e-05,8.173517562681809e-05,7.74218704464147e-05,2.484745255060261e-05,2.7450716515886597e-05,2.69300637228298e-05,0.0001489312926423736,0.00018708716379478574,0.00017945598956430332,8.790114588919096e-05,9.489987132837996e-05,9.350012624054216e-05,0.00017266353307832105,0.00018909991733077428,0.00018581264048028363
1boki5s,"2 Years with Discover It, I'm Ready for an Upgrade (24yo, $62K/yr, 777 FICO)",9,36,0.3141452670097351,0.0,0.058827995627935975,0.03749776081528304,0.029429488700219983,0.5107127726078033,0.5277745260132684,0.5162918418645859,0.5131751298904419,0.5970370173454285,0.43837979435920715,0.4360363483428955,0.6155750155448914,0.6026875972747803,0,9,0.0,0.03129920591082838,1.5229550675313184,0.45704129589910525,1.0,1.0,approval,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,51.73651192984183,26.0,0.9949329217277275,3.0,2.0,1.2,1.8461538461538463,0.00045018485333356593,0.0006049593212082982,0.00054800680372864,1.4833599253607745e-06,1.728398729028413e-06,1.6851377949933522e-06,3.4479813621146604e-05,5.615561531158164e-05,4.235492815496401e-05,2.3117377875476246e-05,3.784144064411521e-05,3.754348144866526e-05,0.00011345248316906186,0.00016586235142312944,0.0001311684085521847,7.103984292674188e-05,8.83795801200904e-05,7.704443560214714e-05,0.00011562628847522557,0.00015417749220129431,0.000139558034319028
1bqtc79,Discover Student Chrome or Discover It Student Cash Back,5,10,0.3012504080931346,0.0,0.05050784742995075,0.035861000302673536,0.028667048553590403,0.5052739560604096,0.41305148005485537,0.4470351219177246,0.45520783960819244,0.5879565477371216,0.21052202582359314,0.2261819839477539,0.21052202582359314,0.4136604964733124,0,5,0.0,0.14482042901217937,0.5004024235381879,0.15017158220936364,0.8,0.25,neutral,0.8,0.6,0.2,0.2,0.0,27.61448895054913,47.0,0.670254586178377,3.0,1.6,1.0,1.3333333333333333,0.00047622869606129826,0.0006925908382982016,0.0006276867119595408,1.5202041367956554e-06,2.2951244318392128e-06,1.9938485365855744e-06,3.4590967698022726e-05,5.46375013072975e-05,4.762517346534878e-05,2.191494349972345e-05,3.1541108910460025e-05,2.933964933617972e-05,0.00010846816876437515,0.00011588983034016564,0.0001158325801952742,7.317282870644704e-05,9.792976197786629e-05,9.060330339707434e-05,0.00011931596814444372,0.00016301401835031962,0.00015050020563194265
