thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
10jsg62,Amex cards questions booking Hilton,6,15,0.3056233376264572,0.0,0.04343225557237672,0.037788196263228414,0.03758024553125707,0.48083030581474306,0.4373985747496287,0.4430448373158773,0.43676334619522095,0.5143797993659973,0.21185795962810516,0.07441979646682739,0.31169041991233826,0.5906091928482056,0,6,0.0,0.06444777424136798,1.0114042647073516,0.3035240669109391,1.0,1.0,neutral,0.5,0.16666666666666666,0.0,0.5,0.3333333333333333,28.935272592460574,25.25,1.0918970789607765,2.0,1.1666666666666667,1.0,1.0,0.001104900113811406,0.004148502834141254,0.0023957451921887696,3.076622325200636e-06,1.1020579222531524e-05,6.406014165349916e-06,6.463515728682978e-05,0.00023139477707445621,0.000135371627038694,2.6941068426822312e-05,3.9733771700412035e-05,3.6967847336200066e-05,0.00014375165240683904,0.00029761152109131217,0.00021997179283061996,0.00021440801598752537,0.000899462727829814,0.000494815638376167,0.0002596187717074372,0.0009379543685099634,0.0005469615472009082
10niavj,"Looking to dip my toes into the points game, need advice on a gameplan of cards to open",6,15,0.29582546949386596,0.0,0.040547725750025986,0.02136829393565961,0.01622113520681718,0.4294233500957489,0.4243523041407267,0.4221757491429647,0.46427106857299805,0.5504442453384399,0.25236406922340393,0.17041905224323273,0.3533793091773987,0.5521630048751831,1,5,0.16666666666666666,0.23522627695153156,0.45056120886630463,0.13521415251989277,1.0,0.4,neutral,0.8333333333333334,0.3333333333333333,0.0,0.0,0.6666666666666666,51.803045813499764,82.5,0.7770456872024964,3.0,1.5,1.0,1.3333333333333333,0.1504099910913889,0.898849368095398,0.44994902407051995,0.0007543257110758835,0.004516215063631535,0.002259784557736566,0.1371252742070889,0.8225064277648926,0.41129329635441536,0.00021837311305716867,0.0011816443875432014,0.0006098673529777443,0.013740276326037323,0.08171173930168152,0.04093969441601075,0.0004366841312730685,0.0020302729681134224,0.001135617378167808,0.05044748742998687,0.30179927793021005,0.15102637199735608
13eotuo,Amex Hilton SUBs Now Available Through Referrals,8,28,0.3046562038362026,0.125,0.04905063755731522,0.034654159960023294,0.027846836793026634,0.5131556923900332,0.5125351856861796,0.5012520711336818,0.505986362695694,0.6106856465339661,0.31265708804130554,0.2584710717201233,0.4866914749145508,0.5042650699615479,0,8,0.0,0.07493472890928388,1.4941751382893085,0.4484043922654514,0.875,1.0,neutral,0.375,0.625,0.125,0.25,0.0,37.06392282260473,28.5,0.8496028154178735,3.0,2.0,2.0,2.0952380952380953,0.000469750495540211,0.0007473250152543187,0.0005959697649814188,1.4568956316907133e-06,1.7438296708860435e-06,1.6074885252237438e-06,3.2481399102834985e-05,4.090476068085991e-05,4.083033927599899e-05,2.3164970571087906e-05,3.938042209483683e-05,2.8312064023339184e-05,0.00011358840856701136,0.00014139329141471535,0.000128105423937086,7.823876330803614e-05,0.00012431945651769638,9.260463120881466e-05,0.00011978015545347868,0.00018251112927221888,0.00014626088085378797
13gc7hr,Strengthening My Portfolio,6,15,0.3042038083076477,0.0,0.045312131648676104,0.03027458926466694,0.02399711500533992,0.47912679115931195,0.4859973390897115,0.4797661503156026,0.48077163100242615,0.5770244002342224,0.24246002733707428,0.21039487421512604,0.3050992488861084,0.4672718346118927,1,5,0.16666666666666666,0.1832414778570334,0.6365141682948128,0.1910189384688593,0.8333333333333334,0.8,neutral,0.6666666666666666,0.5,0.0,0.16666666666666666,0.3333333333333333,28.771610235709012,54.75,0.5735204698147977,3.0,1.8333333333333333,1.3333333333333333,1.5714285714285714,0.0005034858380289128,0.0006846056785434484,0.0006352853961288929,1.4357707224614085e-06,1.603806481398351e-06,1.5882280308687768e-06,3.483483214949956e-05,4.634043580153957e-05,4.2329686039010994e-05,2.139720466705815e-05,3.292849214631133e-05,2.756278627202846e-05,0.00012041696390951984,0.00014169534551911056,0.00013622072583530098,8.438717971633498e-05,0.00012850252096541226,0.00010445841689943336,0.0001276596315322978,0.00016897750900094857,0.00015670632166120413
18abz8z,AMX Hilton Surpass card $50 credit/quarter benefit,1,0,0.36253637075424194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.020203212276101112,-0.0,0.0,1.0,0.0,admiration,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0003822706057690084,0.0003822706057690084,0.0003822706057690084,1.416472514392808e-06,1.416472514392808e-06,1.416472514392808e-06,2.9172439099056646e-05,2.9172439099056646e-05,2.9172439099056646e-05,2.029263850999996e-05,2.029263850999996e-05,2.029263850999996e-05,9.776405931916088e-05,9.776405931916088e-05,9.776405931916088e-05,7.08844163455069e-05,7.08844163455069e-05,7.08844163455069e-05,0.00010030010525952093,0.00010030010525952093,0.00010030010525952093
1fjx6gp,"Ineligible for AmEx Hilton Honors $0/ AF SUB, should I still get the card?",13,78,0.2899093352831327,0.07692307692307693,0.04920833486816564,0.02779613510234239,0.020333624325440586,0.5122475146483152,0.5047066914729583,0.5050072402526171,0.5129692852497101,0.595958948135376,0.43902403116226196,0.4410000443458557,0.7236657738685608,0.6897110939025879,3,10,0.23076923076923078,0.2197879131596822,1.1786549963416462,0.35371628384227644,0.6923076923076923,0.5,neutral,0.6153846153846154,0.5384615384615384,0.07692307692307693,0.23076923076923078,0.15384615384615385,60.007198779191846,110.0,0.694033437837628,5.0,2.076923076923077,1.1666666666666667,2.0,0.0005319252175887903,0.001114125014282763,0.0008127398439683022,1.647388627973739e-06,4.0535765037930105e-06,1.7392679865224638e-06,4.66214341241329e-05,0.00014193158131092787,8.045950817177073e-05,2.1157609808142297e-05,2.8664931960520335e-05,2.629258669912815e-05,0.00013498271940849148,0.0003760383988264948,0.00013348352222237737,7.410568091122863e-05,0.00010065917740575969,9.041623125085607e-05,0.00013507334174479323,0.00027721387776106593,0.00019778283457678
1hh21ae,Hilton credit card: no AF vs Surpass which is the smarter choice?,32,496,0.30109866987913847,0.0625,0.046512132355274356,0.03023129968578575,0.024125389889227782,0.4830773865743991,0.5056345574557781,0.49098243570375827,0.4931550621986389,0.6439157724380493,0.375264048576355,0.37200087308883667,0.7178653478622437,0.6030482053756714,3,29,0.09375,0.11525899317348376,1.4681637560093854,0.4405983340836997,0.84375,0.6774193548387096,neutral,0.59375,0.28125,0.09375,0.15625,0.46875,101.67409253959437,45.25,1.3477924446010852,7.0,3.0625,1.15,2.7529411764705882,0.0042301866869820515,0.10667818784713745,0.0010813309461809692,4.048804907341719e-06,7.35268768039532e-05,3.078177292081818e-06,0.0037359231679374716,0.11648336052894592,0.00011345299135427918,2.826064593364208e-05,0.00016249266627710313,2.5935769735951907e-05,0.0005161297692666267,0.009270706214010715,0.0002148559520719572,0.00010425233972455317,0.00033508616616018116,0.000181306287413463,0.0014364669024586147,0.03883389338322255,0.00025391241817942497
1hxo38t,"Hilton Honors card (100,000 points)",14,91,0.3002685798066003,0.0,0.05404357765379388,0.03288119645153208,0.025095710808655542,0.5089099528370323,0.5296519772037045,0.5157260406803299,0.5164893269538879,0.6153087019920349,0.507484495639801,0.49320438504219055,0.7596336603164673,0.7214360237121582,2,12,0.14285714285714285,0.18669766307409322,1.3316643102930148,0.39963462813481315,0.9285714285714286,0.6153846153846154,neutral,0.5,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.2857142857142857,43.903186626011184,54.0,0.6937298112462263,3.0,1.7857142857142858,1.1428571428571428,1.7333333333333334,0.0004834699086911444,0.0006760850665159523,0.0006043543864507227,1.4660297194625725e-06,1.8571096234154538e-06,1.555317942347756e-06,3.5156482876378247e-05,6.186001701280475e-05,4.1427465475862846e-05,2.1605193718901967e-05,3.481203748378903e-05,2.5386013658135197e-05,0.00011744191371170538,0.00014860661758575588,0.0001353661995381117,7.886632686547403e-05,9.940029121935368e-05,9.152703642030246e-05,0.0001230009759305111,0.00016479222322611045,0.00015051069355536127
1i0r6b7,Advice Needed: To cancel or not cancel the Hilton Honors Surpass?,7,21,0.2571020647883415,0.0,0.036302398079173945,0.02982204343560733,0.027321963959351957,0.48460292248498826,0.48443857828776044,0.47681938182739986,0.47942548990249634,0.5500975847244263,0.24589478969573975,0.23017489910125732,0.36009401082992554,0.39289581775665283,0,7,0.0,0.03490604726331575,1.4750763110546947,0.44267280310989576,1.0,0.8333333333333334,neutral,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,78.96989868272078,31.0,1.3959325524723372,2.0,1.2857142857142858,1.0,1.0,0.000870859163114801,0.0030328829307109118,0.001606358028948308,2.361452613643321e-06,7.309946340683382e-06,4.221032622808709e-06,7.472665285084596e-05,0.00033713210723362863,0.0001578525385411923,2.846890648860218e-05,5.739416155847721e-05,4.0468241786584264e-05,0.00013831728678529283,0.00026815052842721343,0.00018918619898613544,0.000123728858722773,0.00022519186313729733,0.00022427067451644687,0.0002064103867626597,0.0006544210371733546,0.00036894680834696693
1j3j78p,Which card is better Amex Hilton Surpass or Hilton Aspire card?,7,21,0.3021227887698582,0.0,0.04407869530851341,0.02783502473431926,0.020315593290529007,0.4990758498509725,0.5022887800421033,0.49494328952970956,0.4985327124595642,0.5570591688156128,0.4655950665473938,0.4349536597728729,0.5996626615524292,0.7169723510742188,0,7,0.0,0.024275913036295345,0.5982695885852573,0.17954167781670785,0.8571428571428571,0.5,neutral,0.7142857142857143,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,55.43814350338619,84.0,0.743423380313608,3.0,2.0,1.6666666666666667,1.7272727272727273,0.0004544231799497668,0.0005881800316274166,0.0005143066169694066,1.4130677235308603e-06,1.6056795857366524e-06,1.5195266087175697e-06,3.3583839987321494e-05,3.7047386285848916e-05,3.684309267555363e-05,1.9633628003897945e-05,2.5801084120757878e-05,2.3311315089813434e-05,0.00011542443098733202,0.0001425209775334224,0.0001292787885176949,7.50711707431557e-05,8.381968655157834e-05,8.271092665381729e-05,0.00011659155289916747,0.00014540428719556076,0.00012922426668637854
