thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
10svvsg,Credit Card Recommendation,8,28,0.3088871240615845,0.125,0.06560845177996369,0.04515902379315976,0.03743183173309211,0.5147398188710213,0.4742614818470819,0.4913430107491357,0.49211400747299194,0.5836441516876221,0.3171708285808563,0.2612152099609375,0.5333915948867798,0.5365633964538574,2,6,0.25,0.24179357988759875,1.4941751382893085,0.4484043922654514,0.75,1.0,neutral,0.375,0.125,0.25,0.0,0.625,20.447722978366077,13.25,0.6172897502902966,6.0,2.875,1.0,2.3333333333333335,0.0004848952012252994,0.000807262840680778,0.0007107607903890312,1.4231280971443994e-06,1.6333499388565542e-06,1.579384058914002e-06,3.14107594476809e-05,3.744056084542535e-05,3.6743705641129055e-05,2.0778219322892255e-05,2.6803307264344767e-05,2.4937987109296956e-05,0.00011786662162194261,0.00018643114890437573,0.00016397299768868833,7.811829618731281e-05,0.000105190061731264,8.935957157518715e-05,0.00012241537098371208,0.00019317466626489477,0.0001709310113180133
11r5z4b,"Should I upgrade to the IHG Rewards Premier Credit Card from the legacy $49 af card, and if so can I get the 175,000 points offer?",15,105,0.30808836619059243,0.13333333333333333,0.06846397144276747,0.04410383133217192,0.0348430417596765,0.5051757344177791,0.538237658568791,0.5183061994257427,0.5154622793197632,0.6385560035705566,0.37471243739128113,0.360600084066391,0.675883412361145,0.5930383205413818,3,12,0.2,0.21400145180523394,1.5292482930376912,0.45892990312208803,0.8666666666666667,0.7857142857142857,neutral,0.4,0.4666666666666667,0.2,0.13333333333333333,0.2,37.61678112521354,29.0,0.8118729739254721,4.0,2.2,1.1111111111111112,1.65,0.0004667210994133105,0.0008353086886927485,0.0006015357561409473,1.4867841249118404e-06,1.8922628441941924e-06,1.8420281094222443e-06,3.5073017958590454e-05,6.400114216376096e-05,4.9766360461944714e-05,2.1545132767641917e-05,3.418594496906735e-05,2.527162432670593e-05,0.0001135645288741216,0.0001970600278582424,0.00012338855594862252,7.633235654793679e-05,0.00013221117842476815,9.450788347749039e-05,0.00011912048661441886,0.0002107765408254636,0.00014805850350209463
1216rdj,Approved for Chase IHG Premier Card with CL 20k - Data Point,1,0,0.31211981177330017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.9722103476524353,-0.0,0.0,1.0,0.0,desire,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004745468031615019,0.0004745468031615019,0.0004745468031615019,1.7096134570238064e-06,1.7096134570238064e-06,1.7096134570238064e-06,5.143279486219399e-05,5.143279486219399e-05,5.143279486219399e-05,1.8056331100524403e-05,1.8056331100524403e-05,1.8056331100524403e-05,0.00011527253082022071,0.00011527253082022071,0.00011527253082022071,6.797393143642694e-05,6.797393143642694e-05,6.797393143642694e-05,0.00012149866747298195,0.00012149866747298195,0.00012149866747298195
15q6517,"Recommendations for #5/24? Currently focused on BofA Plat Honors CB (x3, very broad) and BILT (for rent/utils/subscriptions, bars/restaurants (sit-down)). Looking for non-BofA card. 27M, MCOL.",1,0,0.28368818759918213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.018956435844302177,-0.0,0.0,1.0,0.0,approval,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004082353552803397,0.0004082353552803397,0.0004082353552803397,1.4027660881765769e-06,1.4027660881765769e-06,1.4027660881765769e-06,3.540406032698229e-05,3.540406032698229e-05,3.540406032698229e-05,1.721462103887461e-05,1.721462103887461e-05,1.721462103887461e-05,0.00010818162991199642,0.00010818162991199642,0.00010818162991199642,6.328330346150324e-05,6.328330346150324e-05,6.328330346150324e-05,0.00010562028935131214,0.00010562028935131214,0.00010562028935131214
177ovyy,U.S. Bank Altitude Connect vs Chase IHG One Rewards Premier Card ------ FOR HOTELS,4,6,0.3089545667171478,0.0,0.03333580050889904,0.021231061836379156,0.016464489887751423,0.4786040633916855,0.4940154701471329,0.48392965892950696,0.4826389104127884,0.5826269388198853,0.26493534445762634,0.22626453638076782,0.26493534445762634,0.5284750461578369,0,4,0.0,0.023850983008742332,0.5623351446188083,0.16875769266311968,1.25,0.6666666666666666,neutral,0.75,0.5,0.25,0.0,0.25,40.23912896671597,61.75,0.6791414171597632,2.0,1.25,1.0,1.0,0.0004623954664566554,0.0005354224122129381,0.0005149651115061715,1.4759737894110003e-06,1.6765544614827377e-06,1.6224750879700879e-06,3.5623478652269114e-05,3.993887366959825e-05,3.888868450303562e-05,2.1459222352859797e-05,2.9036522391834296e-05,2.6586142848827875e-05,0.00011183476090081967,0.00011413718311814591,0.00011370837237336672,7.666161945962813e-05,9.090722596738487e-05,8.724923682166264e-05,0.00011824175360194052,0.0001343681847364072,0.0001297239877847763
18pptfb,Is the IHG One Rewards Premier CC underappreciated?,24,276,0.3042198208471139,0.041666666666666664,0.045650100723859686,0.03207660363938512,0.027086443052132425,0.4913857138675192,0.48089008076467377,0.48034626072731573,0.48399338126182556,0.6352040767669678,0.3423730731010437,0.34173184633255005,0.6852611899375916,0.5746488571166992,1,23,0.041666666666666664,0.07550413433151941,1.362568400406122,0.4089089959050802,0.9583333333333334,0.7391304347826086,neutral,0.5416666666666666,0.5416666666666666,0.041666666666666664,0.3333333333333333,0.08333333333333333,58.22794050587359,49.0,1.1626211082703546,4.0,1.75,1.2,2.0714285714285716,0.0005373438689275645,0.0011718547903001308,0.0006485112942755222,1.5407607871035605e-06,2.335559884159011e-06,1.8110515611624578e-06,4.036686361056733e-05,0.00010000810289056972,5.098566653032321e-05,2.2344449007505318e-05,3.6123910831520334e-05,3.149527310597477e-05,0.00012243365260170927,0.00021916792320553213,0.00014075629733270034,8.199273725040257e-05,0.00012858219270128757,9.692388994153588e-05,0.0001343370553641421,0.0002760857149723961,0.0001562590696607913
1adcokq,Looking for my first hotel credit card,4,6,0.2855362668633461,0.0,0.02804286851804966,0.022357631149493785,0.020581552756319937,0.4042897621790568,0.4975135922431946,0.43621957798798877,0.44065648317337036,0.49003592133522034,0.22915619611740112,0.17828921973705292,0.22915619611740112,0.4605863094329834,0,4,0.0,0.06688370928168297,1.0397207708399179,0.3120218965147642,1.0,1.0,neutral,0.5,0.75,0.0,0.0,0.25,206.33649701397957,170.5,1.3710066246776051,2.0,1.25,1.0,1.0,0.000849791889777407,0.0012886910699307919,0.0011956312693655491,2.1931145965936594e-06,3.1896815926302224e-06,3.105565701844171e-06,0.00011011959622919676,0.00022817902208771557,0.00020409741264302287,2.8135214051872026e-05,3.222384839318693e-05,3.14439357680385e-05,0.00017274230776820332,0.00024618871975690126,0.00022304109006654474,8.619836989964824e-05,9.92564091575332e-05,9.80502663878724e-05,0.00020819674872048685,0.0003131578080986704,0.0002903843873658237
1at2thi,PUNISH A Friend Offer for Chase IHG Premier Card for 10K Referral Bonus - Or FRIEND Could Apply Direct and get 165K Pts. SUB vs. 4 Nights with Restrictions from Referral,6,15,0.3265759547551473,0.16666666666666666,0.0727331196227274,0.04717177081001521,0.03839667046044527,0.549456803003947,0.5339842299620311,0.54083811044693,0.5403715968132019,0.6043713688850403,0.47700604796409607,0.513198733329773,0.5370898246765137,0.5585588216781616,1,5,0.16666666666666666,0.24432067138453326,1.5607104090414063,0.4683717353708719,0.8333333333333334,1.0,neutral,0.3333333333333333,0.16666666666666666,0.0,0.0,0.8333333333333334,12.328828005937952,19.5,0.35225222874108436,2.0,1.1666666666666667,1.0,1.0,0.10171678893675562,0.5440134406089783,0.29564207047224045,0.00013278749327128025,0.00076846539741382,0.0003937463416150422,0.07850805922498694,0.4664313793182373,0.23530268389731646,0.00014571995961887296,0.00043472516699694097,0.00034328390029259026,0.009767988269838193,0.029592549428343773,0.028281780891120434,0.00036970839331236977,0.0009289378649555147,0.0007784668705426157,0.03177350871296388,0.1736949162974876,0.09312113668787939
1b57lzg,5/24 exception Data point!,1,0,0.2852555811405182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.05161823704838753,-0.0,0.0,1.0,0.0,neutral,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006267971824854612,0.006267971824854612,0.006267971824854612,4.34810954175191e-06,4.34810954175191e-06,4.34810954175191e-06,0.0004393308481667191,0.0004393308481667191,0.0004393308481667191,9.938549919752404e-05,9.938549919752404e-05,9.938549919752404e-05,0.0011286218650639057,0.0011286218650639057,0.0011286218650639057,0.000241414803895168,0.000241414803895168,0.000241414803895168,0.0013635121584532801,0.0013635121584532801,0.0013635121584532801
1bdck2w,"Approved at 6/24 for IHG One Rewards Premier World Elite Mastercard! Chase 5/24 Relaxed, or Lucky Timing?",22,231,0.2969574485170214,0.15789473684210525,0.04162383252044299,0.027293014310438294,0.022039836661363138,0.4770874154645127,0.4814001772052798,0.47170032799501954,0.4739997088909149,0.6021018028259277,0.2703082859516144,0.2637362480163574,0.6689098477363586,0.4764784574508667,6,16,0.2727272727272727,0.3103955731811849,1.9401243333353366,0.5822344719272128,0.8636363636363636,0.8571428571428571,neutral,0.4090909090909091,0.5454545454545454,0.13636363636363635,0.13636363636363635,0.18181818181818182,62.49429726049125,77.25,0.9627972967302574,6.0,2.5,1.1666666666666667,2.3095238095238093,0.010341351671906357,0.21122784912586212,0.002600910974433643,8.859059515874502e-06,0.0001552573376102373,3.1503789614362166e-06,0.00931371925418551,0.20354774594306946,0.00020883265169686617,3.244669228892731e-05,0.0001796248834580183,5.5135185903054635e-05,0.0011850490005930294,0.022696414962410927,0.00026402427320135755,0.00011058538273738867,0.0005758291226811707,0.00016841382894199335,0.003498668510204514,0.07306378689584865,0.0005936242667663307
