thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
1e1jf8c,Wells Fargo and Expedia launch new One Key credit cards,102,5151,0.3122929927447568,0.13043478260869565,0.04351000649567501,0.02951409864620695,0.024655214543073737,0.48935174626983313,0.4821754066695567,0.48151622909037867,0.4855269193649292,0.9999997615814209,0.2792651355266571,0.2709057927131653,0.826620876789093,0.5306355357170105,17,85,0.16666666666666666,0.17925927574362824,1.8025540748207913,0.540949413313775,0.7843137254901961,0.6732673267326733,neutral,0.5098039215686274,0.3431372549019608,0.09803921568627451,0.16666666666666666,0.39215686274509803,51.96202366261525,55.0,0.9220818395244877,10.0,2.343137254901961,1.3125,3.379166666666667,0.014497235876464686,0.6575286388397217,0.005323330452665691,1.2801850551104686e-05,0.0007112282910384238,3.877493645632059e-06,0.00969115534883481,0.6325768828392029,0.0003653197956737135,4.674266558461515e-05,0.0010587791912257671,6.564110080944375e-05,0.004639103229861825,0.23026669025421143,0.002000597002916041,0.00012675629345632806,0.0014252837281674147,0.00024202821077778938,0.004835632544125562,0.24313527453826586,0.0012875625571761409
1elispp,One Key Card sign up bonus?,13,78,0.3037917155485887,0.0,0.06182021300028873,0.04692385961780998,0.041777646528271435,0.505778255370947,0.49784726477586305,0.4963823778507037,0.4960033893585205,0.6531041264533997,0.311721533536911,0.33455997705459595,0.6045628190040588,0.5403665900230408,3,10,0.23076923076923078,0.23944445570500997,1.4180693652516905,0.4255649258385794,1.0,0.8333333333333334,neutral,0.46153846153846156,0.3076923076923077,0.0,0.07692307692307693,0.6153846153846154,25.443753956219105,21.0,0.795117311131847,7.0,3.3846153846153846,1.0,2.4516129032258065,0.00428482833936309,0.04924484342336655,0.0010271996492519978,1.8899722468072118e-06,6.066359219403239e-06,1.995741286009434e-06,0.00015213644893754882,0.001494960393756628,8.5853928612778e-05,2.4752930935042408e-05,5.3753858082927763e-05,2.969648194266483e-05,0.002119164073239797,0.02610570378601551,0.000198348707635887,9.343867210331015e-05,0.00032446556724607944,9.590199770173057e-05,0.0011127017394709328,0.012871632231281183,0.00023744332972152439
1etb685,I think the OneKey+ is now one of the best single card set ups for travel (sorta).,96,4560,0.3055426597595215,0.1,0.0451007297785393,0.031208308643871342,0.026279284512246256,0.48656226107033723,0.4789880500877636,0.47856263537286664,0.4842372238636017,0.9999999403953552,0.2661026120185852,0.2574518322944641,0.8021788597106934,0.47985994815826416,10,86,0.10416666666666667,0.14638703021531305,1.8243243708819326,0.5474827146146596,0.8229166666666666,0.7157894736842105,neutral,0.4895833333333333,0.3020833333333333,0.125,0.16666666666666666,0.40625,51.457910549882634,45.75,0.9803451900751603,7.0,2.53125,1.2105263157894737,2.654166666666667,0.0095180013152761,0.5822063088417053,0.0010114129981957376,6.024402357714583e-06,0.00040153961163014174,1.9572465816963813e-06,0.0044549598846591225,0.415336936712265,8.616897321189754e-05,2.6881849862547824e-05,0.00021914346143603325,2.8069593099644408e-05,0.0032968060365874408,0.1193791925907135,0.00022947784600546584,0.0001055227803969198,0.0011823705863207579,0.00011320446719764732,0.0029013660448566404,0.18406378697060669,0.0002499838334983906
1f8ka7f,One key credit card welcome offer,13,78,0.29920304738558257,0.07692307692307693,0.05744242603033005,0.04532978741038788,0.0406651354211245,0.5146382428132571,0.49056213941329563,0.49823821928256595,0.5068177878856659,0.6305394768714905,0.2934820055961609,0.30203449726104736,0.5562618970870972,0.5200657844543457,8,5,0.6153846153846154,0.5859421417117119,1.4105135571148382,0.4232974155120734,0.8461538461538461,0.75,neutral,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.23076923076923078,33.6562856258705,16.0,1.116152329429379,10.0,4.6923076923076925,1.1,3.8035714285714284,0.0005227832813174105,0.0007941073854453862,0.0007152221049182119,1.540189067292466e-06,1.9251378944318276e-06,1.8474836679160943e-06,3.701248869429737e-05,7.269437628565356e-05,5.700492620235309e-05,2.5570625719130756e-05,3.2470939913764596e-05,3.0524701651302165e-05,0.00011594820758686043,0.0001600299874553457,0.0001352481107460335,7.955070927542132e-05,0.00011330631241435185,0.00010323259775759654,0.00013040091694340215,0.00018896246964080396,0.00017383602305092913
1fugn1g,"One Key + credit card, a good all around card ",15,105,0.31537341858659473,0.07142857142857142,0.05730573476033388,0.04670110981051002,0.04286812372912705,0.5070623184953417,0.4920968487149193,0.49626750435147965,0.5076362490653992,0.6169512271881104,0.19346849620342255,0.15739518404006958,0.576722264289856,0.45583224296569824,3,12,0.2,0.23537474336723488,1.5426719687381505,0.4629583700602573,0.8666666666666667,0.9285714285714286,curiosity,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.2,0.4666666666666667,25.039169315294785,20.5,0.9556934853165949,3.0,1.4666666666666666,1.2,1.25,0.0013351699841829638,0.01257928553968668,0.0007586930762045086,2.169629343976946e-06,1.1312507012917195e-05,1.804380394787586e-06,4.168089920616088e-05,0.00013163668336346745,4.80901071568951e-05,3.012922522126852e-05,0.00011533288488863036,3.422751324251294e-05,0.0001995710840371127,0.001302111428231001,0.00016315864631906153,0.00047119642695179207,0.005871302913874388,0.00010591214086161927,0.00034665287482387916,0.0033351636595095138,0.00018127627958316832
1hhjx9q,There's two promotions for the one key card from Welss Fargo,13,78,0.30845105106180365,0.18181818181818182,0.09053639423636553,0.08003035002808029,0.0773322486169827,0.5066028990042515,0.5081445628251785,0.5043404912337278,0.49637530744075775,0.7790359258651733,0.30419352650642395,0.29623526334762573,0.5931821465492249,0.5369311571121216,4,9,0.3076923076923077,0.3304040333112845,0.9371558530657009,0.2812419976637107,0.8461538461538461,0.5833333333333334,neutral,0.6923076923076923,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.3076923076923077,9.532256045944411,9.0,0.7040870943027122,4.0,2.3076923076923075,1.125,1.6842105263157894,0.0005780840516448594,0.0014487381558865309,0.000827481655869633,1.7621013494835306e-06,4.733245532406727e-06,1.8985911538038636e-06,4.9087219779791594e-05,0.00022727575560566038,5.4290809930535044e-05,3.0262851186517553e-05,8.855007035890594e-05,5.7843815375235885e-05,0.00011920608309222959,0.0001645714946789667,0.00015722378448117526,7.695451887019981e-05,0.00011175970576005057,8.785838435869666e-05,0.00014255947098718025,0.00033210670797719405,0.00019694454664052804
1ie54ex,One key master card /one key + master card,4,6,0.30988284200429916,0.0,0.10238385154774199,0.09300080764551906,0.0872239492679659,0.42809510231018066,0.4299502521753311,0.42731720209121704,0.41677558422088623,0.5862777829170227,0.1991269439458847,0.08970381319522858,0.19912691414356232,0.46549636125564575,0,4,0.0,0.14348317962139845,1.0397207708399179,0.3120218965147642,1.0,1.0,neutral,0.5,0.5,0.25,0.0,0.25,5.431390245600108,6.0,0.6034878050666787,4.0,2.5,1.0,1.6666666666666667,0.0005730477787437849,0.0008236953290179372,0.0007729939301498235,1.4405488002466882e-06,1.7409316797056817e-06,1.6983989098662279e-06,3.4199280435132096e-05,4.62102543679066e-05,4.39557887148112e-05,2.7576089905778645e-05,3.850410575978458e-05,3.8075594056863336e-05,0.000123284042274463,0.00014838403149042279,0.00014267109654610976,7.454738988599274e-05,8.958796388469636e-05,8.637333812657745e-05,0.00013901585500756633,0.0001913537693667422,0.00018096135775067524
1ifs4dm,OneKey Cards - Points Expiration,5,10,0.30569893717765806,0.0,0.08709284786738618,0.0752722216706711,0.0702008783788644,0.48886136114597323,0.5596614360809327,0.5100239306688309,0.5036993026733398,0.6082200407981873,0.33081820607185364,0.33385899662971497,0.33081820607185364,0.4356330335140228,0,5,0.0,0.0787545159459114,1.3321790402101223,0.399789099421175,1.0,0.75,neutral,0.4,0.2,0.2,0.4,0.2,59.75750998828516,10.0,1.4296055021120853,4.0,2.2,1.0,1.6666666666666667,0.00047202607383951546,0.0007136096246540546,0.0006205826648510993,1.532548026261793e-06,1.978617774511804e-06,1.771953111529001e-06,3.0496956969727763e-05,4.5940778363728896e-05,3.95470553485211e-05,2.5705149164423345e-05,4.649727634387091e-05,3.796833771048114e-05,0.00010415169963380322,0.00012063411122653633,0.0001147035654867068,8.301888447022065e-05,9.365163714392111e-05,9.340092219645157e-05,0.00011948855201732536,0.00016894109364784526,0.00015017182897736348
1il146r,One Key+ has really nice packaging and a great unboxing experience. It's a keeper card for me.,25,300,0.3096382943066684,0.09090909090909091,0.052804325159657925,0.047415472945686155,0.04686703414232776,0.4784334019819895,0.483375463783741,0.47545417507489524,0.4823320657014847,0.755709707736969,0.167584627866745,0.1375746726989746,0.6282410621643066,0.3792129456996918,1,24,0.04,0.10714688375592232,1.5077628020565859,0.4524820722895274,0.96,0.7083333333333334,neutral,0.52,0.24,0.08,0.4,0.28,37.130386477923985,26.0,1.3691145456461646,6.0,2.08,1.1818181818181819,2.212121212121212,0.003054843239951879,0.03800848498940468,0.0013660837430506955,2.192429037677357e-06,1.3910367670177948e-05,2.4855256469891175e-06,9.492361394222826e-05,0.0010056409519165754,5.715969382436015e-05,5.201612038945314e-05,0.0004887032555416226,9.237925842171539e-05,0.000907127361278981,0.011391081847250462,0.00021604264620691545,0.00013084814709145575,0.0007481452194042504,0.0001844760117819534,0.000706991818615279,0.008609327771864628,0.0003151251747037049
1ipzrbl,One key Mastercard with Wells Fargo,8,28,0.31182414665818214,0.0,0.07221221041820981,0.06384534587491406,0.06200429720509878,0.5056129374674388,0.5138560001339231,0.5064767960991178,0.5039279758930206,0.6823334097862244,0.22273972630500793,0.20539796352386475,0.3747212290763855,0.40199580788612366,2,6,0.25,0.28467439371161163,1.2554823251787535,0.3767722903396291,1.125,0.7142857142857143,neutral,0.375,0.375,0.0,0.125,0.5,8.680977767509832,13.5,0.625656055316024,2.0,1.5,2.0,1.3333333333333333,0.0026397463625471573,0.01689695380628109,0.005689698399510232,2.143594073800159e-06,4.422579422680428e-06,3.654995521173987e-06,9.132071545536746e-05,0.0004540742957033217,0.00018613395222928368,4.8575416485618916e-05,0.00016643822891637683,9.113001906371208e-05,0.0006377400204655714,0.004348748829215765,0.001392811487312428,0.00011759834342228714,0.00033977811108343303,0.00017504244533483865,0.0005895207420749672,0.003701735975103778,0.001251303593755892
